SPASE_ResourceID,HelioData_short_name,SPASE_ResourceName,HelioData_long_name,SPASE_AlternateName
spase://SMWG/Observatory/AUTUMN,AUTUMN,AUTUMN,Athabasca University THEMIS UCLA Magnetometer Network,['Athabasca University THEMIS UCLA Magnetometer Network']
spase://SMWG/Observatory/AWESOME,AWESOME,AWESOME,"Atmospheric Weather Electromagnetic System for Observation, Modeling, and Education","['Atmospheric Weather Electromagnetic System for Observation, Modeling, and Education']"
spase://SMWG/Observatory/BARREL,BARREL,BARREL,Balloon Array for Radiation-belt Relativistic Electron Losses,['']
spase://SMWG/Observatory/BARREL/1A,BARREL Balloon 1A,BARREL Balloon 1A,BARREL Balloon 1A,['']
spase://SMWG/Observatory/BARREL/1B,BARREL Balloon 1B,BARREL Balloon 1B,BARREL Balloon 1B,['']
spase://SMWG/Observatory/BARREL/1C,BARREL Balloon 1C,BARREL Balloon 1C,BARREL Balloon 1C,['']
spase://SMWG/Observatory/BARREL/1D,BARREL Balloon 1D,BARREL Balloon 1D,BARREL Balloon 1D,['']
spase://SMWG/Observatory/BARREL/1G,BARREL Balloon 1G,BARREL Balloon 1G,BARREL Balloon 1G,['']
spase://SMWG/Observatory/BARREL/1H,BARREL Balloon 1H,BARREL Balloon 1H,BARREL Balloon 1H,['']
spase://SMWG/Observatory/BARREL/1I,BARREL Balloon 1I,BARREL Balloon 1I,BARREL Balloon 1I,['']
spase://SMWG/Observatory/BARREL/1J,BARREL Balloon 1J,BARREL Balloon 1J,BARREL Balloon 1J,['']
spase://SMWG/Observatory/BARREL/1K,BARREL Balloon 1K,BARREL Balloon 1K,BARREL Balloon 1K,['']
spase://SMWG/Observatory/BARREL/1M,BARREL Balloon 1M,BARREL Balloon 1M,BARREL Balloon 1M,['']
spase://SMWG/Observatory/BARREL/1N,BARREL Balloon 1N,BARREL Balloon 1N,BARREL Balloon 1N,['']
spase://SMWG/Observatory/BARREL/1O,BARREL Balloon 1O,BARREL Balloon 1O,BARREL Balloon 1O,['']
spase://SMWG/Observatory/BARREL/1Q,BARREL Balloon 1Q,BARREL Balloon 1Q,BARREL Balloon 1Q,['']
spase://SMWG/Observatory/BARREL/1R,BARREL Balloon 1R,BARREL Balloon 1R,BARREL Balloon 1R,['']
spase://SMWG/Observatory/BARREL/1S,BARREL Balloon 1S,BARREL Balloon 1S,BARREL Balloon 1S,['']
spase://SMWG/Observatory/BARREL/1T,BARREL Balloon 1T,BARREL Balloon 1T,BARREL Balloon 1T,['']
spase://SMWG/Observatory/BARREL/1U,BARREL Balloon 1U,BARREL Balloon 1U,BARREL Balloon 1U,['']
spase://SMWG/Observatory/BARREL/1V,BARREL Balloon 1V,BARREL Balloon 1V,BARREL Balloon 1V,['']
spase://SMWG/Observatory/BARREL/2A,BARREL Balloon 2A,BARREL Balloon 2A,BARREL Balloon 2A,['']
spase://SMWG/Observatory/BARREL/2B,BARREL Balloon 2B,BARREL Balloon 2B,BARREL Balloon 2B,['']
spase://SMWG/Observatory/BARREL/2C,BARREL Balloon 2C,BARREL Balloon 2C,BARREL Balloon 2C,['']
spase://SMWG/Observatory/BARREL/2D,BARREL Balloon 2D,BARREL Balloon 2D,BARREL Balloon 2D,['']
spase://SMWG/Observatory/BARREL/2E,BARREL Balloon 2E,BARREL Balloon 2E,BARREL Balloon 2E,['']
spase://SMWG/Observatory/BARREL/2F,BARREL Balloon 2F,BARREL Balloon 2F,BARREL Balloon 2F,['']
spase://SMWG/Observatory/BARREL/2I,BARREL Balloon 2I,BARREL Balloon 2I,BARREL Balloon 2I,['']
spase://SMWG/Observatory/BARREL/2K,BARREL Balloon 2K,BARREL Balloon 2K,BARREL Balloon 2K,['']
spase://SMWG/Observatory/BARREL/2L,BARREL Balloon 2L,BARREL Balloon 2L,BARREL Balloon 2L,['']
spase://SMWG/Observatory/BARREL/2M,BARREL Balloon 2M,BARREL Balloon 2M,BARREL Balloon 2M,['']
spase://SMWG/Observatory/BARREL/2N,BARREL Balloon 2N,BARREL Balloon 2N,BARREL Balloon 2N,['']
spase://SMWG/Observatory/BARREL/2O,BARREL Balloon 2O,BARREL Balloon 2O,BARREL Balloon 2O,['']
spase://SMWG/Observatory/BARREL/2P,BARREL Balloon 2P,BARREL Balloon 2P,BARREL Balloon 2P,['']
spase://SMWG/Observatory/BARREL/2Q,BARREL Balloon 2Q,BARREL Balloon 2Q,BARREL Balloon 2Q,['']
spase://SMWG/Observatory/BARREL/2T,BARREL Balloon 2T,BARREL Balloon 2T,BARREL Balloon 2T,['']
spase://SMWG/Observatory/BARREL/2W,BARREL Balloon 2W,BARREL Balloon 2W,BARREL Balloon 2W,['']
spase://SMWG/Observatory/BARREL/2X,BARREL Balloon 2X,BARREL Balloon 2X,BARREL Balloon 2X,['']
