SPASE_ResourceID,HelioData_short_name,SPASE_ResourceName,HelioData_long_name,SPASE_AlternateName
spase://SMWG/Observatory/Ground/Kanozan,Kanozan,Kanozan,Observatory Station Code: KNZ,['Observatory Station Code: KNZ']
spase://SMWG/Observatory/Ground/Kapuskasing,KAPU,Kapuskasing Geophysical Observatory,Observatory Station Code: KAPU,['Observatory Station Code: KAPU']
spase://SMWG/Observatory/Ground/Karachi,Karachi,Karachi,Observatory Station Code: KRC,['Observatory Station Code: KRC']
spase://SMWG/Observatory/Ground/Karmoy,KAR,Karmoy Geophysical Observatory,Karmoy Geophysical Observatory,['']
spase://SMWG/Observatory/Ground/Kashi,Kashi,Kashi,Observatory Station Code: KSH,['Observatory Station Code: KSH']
spase://SMWG/Observatory/Ground/Keetmanshoop,Keetmanshoop,Keetmanshoop,Observatory Station Code: KMH,['Observatory Station Code: KMH']
spase://SMWG/Observatory/Ground/Kenai,KENA,Kenai Geophysical Observatory,Observatory Station Code: KENA,['Observatory Station Code: KENA']
spase://SMWG/Observatory/Ground/Kevo,KEV,Kevo Geophysical Observatory,Observatory Station Code: KEV,['Observatory Station Code: KEV']
spase://SMWG/Observatory/Ground/Kiana,KIAN,Kiana Geophysical Observatory,Observatory Station Code: KIAN,['Observatory Station Code: KIAN']
spase://SMWG/Observatory/Ground/Kilpisjarvi,KIL,Kilpisjarvi Geophysical Observatory,Observatory Station Code: KIL,['Observatory Station Code: KIL']
spase://SMWG/Observatory/Ground/Kiruna,Kiruna,Kiruna,Observatory Station Code: KIR,['Observatory Station Code: KIR']
spase://SMWG/Observatory/Ground/Kodaikanal,Kodaikanal,Kodaikanal,Observatory Station Code: KOD,['Observatory Station Code: KOD']
spase://SMWG/Observatory/Ground/Kodiak,KODK,Kodiak Geophysical Observatory,Observatory Station Code: KODK,['Observatory Station Code: KODK']
spase://SMWG/Observatory/Ground/Koror,Koror,Koror,Observatory Station Code: KOR,['Observatory Station Code: KOR']
spase://SMWG/Observatory/Ground/Kourou,Kourou,Kourou,Observatory Station Code: KOU,['Observatory Station Code: KOU']
spase://SMWG/Observatory/Ground/Krasnaya.Pakhra,Krasnaya Pakhra,Krasnaya Pakhra,Observatory Station Code: MOS,"['Moscow', 'Observatory Station Code: MOS']"
spase://SMWG/Observatory/Ground/Kullorsuaq,KUV,Kullorsuaq Geophysical Observatory,Observatory Station Code: KUV,['Observatory Station Code: KUV']
spase://SMWG/Observatory/Ground/Kuujjuaq,KUUJ,Kuujjuaq Geophysical Observatory,Observatory Station Code: KUUJ,['Observatory Station Code: KUUJ']
spase://SMWG/Observatory/Ground/Kuujjuarapik,KJPK,Kuujjuarapik Geophysical Observatory,Observatory Station Code: KJPK,['Observatory Station Code: KJPK']
spase://SMWG/Observatory/Ground/L.Aquila,L'Aquila,L'Aquila,Observatory Station Code: AQU,['Observatory Station Code: AQU']
spase://SMWG/Observatory/Ground/La.Paz,La Paz,La Paz,Observatory Station Code: LPB,['Observatory Station Code: LPB']
spase://SMWG/Observatory/Ground/La.Quiaca,La Quiaca,La Quiaca,Observatory Station Code: LQA,['Observatory Station Code: LQA']
spase://SMWG/Observatory/Ground/La.Ronge,LRG,La Ronge Geophysical Observatory,Observatory Station Code: LRG,['Observatory Station Code: LRG']
spase://SMWG/Observatory/Ground/Lanzhou,Lanzhou,Lanzhou,Observatory Station Code: LZH,['Observatory Station Code: LZH']
spase://SMWG/Observatory/Ground/Las.Mesas,Las Mesas,Las Mesas,Observatory Station Code: TEN,"['Tenerife', 'Observatory Station Code: TEN']"
spase://SMWG/Observatory/Ground/Laurel,LREL,Laurel Geophysical Observatory,Observatory Station Code: LREL,['Observatory Station Code: LREL']
spase://SMWG/Observatory/Ground/Leadville,Leadville,Leadville,Observatory Station Code: LDV,['Observatory Station Code: LDV']
spase://SMWG/Observatory/Ground/Learmonth,Learmonth,Learmonth,Learmonth,['']
spase://SMWG/Observatory/Ground/Leirvogur,Leirvogur Geophysical Observatory,Leirvogur Geophysical Observatory,Leirvogur Geophysical Observatory,['']
spase://SMWG/Observatory/Ground/Leningradskaya,Leningradskaya,Leningradskaya,Observatory Station Code: LEN,['Observatory Station Code: LEN']
spase://SMWG/Observatory/Ground/Lerwick,Lerwick,Lerwick,Observatory Station Code: LER,['Observatory Station Code: LER']
spase://SMWG/Observatory/Ground/Lethbridge,LETH,Lethbridge Geophysical Observatory,Observatory Station Code: LETH,['Observatory Station Code: LETH']
spase://SMWG/Observatory/Ground/Linares,LRES,Linares Geophysical Observatory,Observatory Station Code: LRES,['Observatory Station Code: LRES']
spase://SMWG/Observatory/Ground/Little.America,Little America,Little America,Observatory Station Code: LAA,['Observatory Station Code: LAA']
spase://SMWG/Observatory/Ground/Livingston.Island,Livingston Island,Livingston Island,Observatory Station Code: LIV,['Observatory Station Code: LIV']
spase://SMWG/Observatory/Ground/Logrono,Logrono,Logrono,Observatory Station Code: LGR,['Observatory Station Code: LGR']
spase://SMWG/Observatory/Ground/Longyearbyen,LYR,Longyearbyen Geophysical Observatory,Observatory Station Code: LYR,['Observatory Station Code: LYR']
spase://SMWG/Observatory/Ground/Loparskaya,Loparskaya,Loparskaya,Observatory Station Code: MMK,['Observatory Station Code: MMK']
spase://SMWG/Observatory/Ground/Lovo,Lovo,Lovo,Observatory Station Code: LOV,['Observatory Station Code: LOV']
spase://SMWG/Observatory/Ground/Lovozero,Lovozero Geophysical Observatory,Lovozero Geophysical Observatory,Observatory Station Code: LOZ,['Observatory Station Code: LOZ']
spase://SMWG/Observatory/Ground/Loysburg,LOYS,Loysburg Geophysical Observatory,Observatory Station Code: LOYS,['Observatory Station Code: LOYS']
spase://SMWG/Observatory/Ground/Luanda.Belas,Luanda Belas,Luanda Belas,Observatory Station Code: LUA,['Observatory Station Code: LUA']
spase://SMWG/Observatory/Ground/Lucky.Lake,Lucky Lake Geophysical Observatory,Lucky Lake Geophysical Observatory,Observatory Station Code: LCL,['Observatory Station Code: LCL']
spase://SMWG/Observatory/Ground/Lunping,Lunping,Lunping,Observatory Station Code: LNP,['Observatory Station Code: LNP']
spase://SMWG/Observatory/Ground/Lvov,Lvov,Lvov,Observatory Station Code: LVV,['Observatory Station Code: LVV']
spase://SMWG/Observatory/Ground/Lwiro,Lwiro,Lwiro,Observatory Station Code: LWI,['Observatory Station Code: LWI']
spase://SMWG/Observatory/Ground/Lycksele,Lycksele,Lycksele,Observatory Station Code: LYC,['Observatory Station Code: LYC']
spase://SMWG/Observatory/Ground/Lyford,LYFD,Lyford Geophysical Observatory,Observatory Station Code: LYFD,['Observatory Station Code: LYFD']
spase://SMWG/Observatory/Ground/MACCS,MACCS,Magnetometer Array for Cusp and Cleft Studies,MACCS,['MACCS']
spase://SMWG/Observatory/Ground/Manhay,Manhay,Manhay,Observatory Station Code: MAB,['Observatory Station Code: MAB']
spase://SMWG/Observatory/Ground/Maniitsoq,SKT,Maniitsoq Geophysical Observatory,Observatory Station Code: SKT,['Observatory Station Code: SKT']
spase://SMWG/Observatory/Ground/Manzhouli,Manzhouli,Manzhouli,Observatory Station Code: MZL,['Observatory Station Code: MZL']
spase://SMWG/Observatory/Ground/Maputo,Maputo,Maputo,Observatory Station Code: LMM,['Observatory Station Code: LMM']
spase://SMWG/Observatory/Ground/Marion.Island,Marion Island,Marion Island,Observatory Station Code: MRN,['Observatory Station Code: MRN']
spase://SMWG/Observatory/Ground/Martin.de.Vivies,Martin de Vivies,Martin de Vivies,Observatory Station Code: AMS,['Observatory Station Code: AMS']
spase://SMWG/Observatory/Ground/Masi,MAS,Masi Geophysical Observatory,Observatory Station Code: MAS,['Observatory Station Code: MAS']
spase://SMWG/Observatory/Ground/MaunaLoaSO,MLSO,MLSO,Mauna Loa Solar Observatory,['Mauna Loa Solar Observatory']
spase://SMWG/Observatory/Ground/MBour,MBour,MBour,Observatory Station Code: MBO,['Observatory Station Code: MBO']
spase://SMWG/Observatory/Ground/McGrath,MCGR,McGrath Geophysical Observatory,Observatory Station Code: MCGR,['Observatory Station Code: MCGR']
spase://SMWG/Observatory/Ground/McMAC,McMAC,"Mid-continent Magnetoseismic Chain, McMAC, Observatory Chain","Mid-continent Magnetoseismic Chain, McMAC, Observatory Chain",['']
spase://SMWG/Observatory/Ground/Meanook,Meanook Geophysical Observatory,Meanook Geophysical Observatory,Observatory Station Code: MEA,['Observatory Station Code: MEA']
spase://SMWG/Observatory/Ground/Mekrijarvi,MEK,Mekrijarvi Geophysical Observatory,Observatory Station Code: MEK,['Observatory Station Code: MEK']
spase://SMWG/Observatory/Ground/Memambetsu,Memambetsu,Memambetsu,Observatory Station Code: MMB,['Observatory Station Code: MMB']
spase://SMWG/Observatory/Ground/Midway,Midway,Midway,Observatory Station Code: MID,['Observatory Station Code: MID']
spase://SMWG/Observatory/Ground/Mirny,Mirny,Mirny,Observatory Station Code: MIR,['Observatory Station Code: MIR']
spase://SMWG/Observatory/Ground/Misallat,Misallat,Misallat,Observatory Station Code: MLT,['Observatory Station Code: MLT']
spase://SMWG/Observatory/Ground/Mizusawa,Mizusawa,Mizusawa,Observatory Station Code: MIZ,['Observatory Station Code: MIZ']
spase://SMWG/Observatory/Ground/Moca,Moca,Moca,Observatory Station Code: MFP,['Observatory Station Code: MFP']
spase://SMWG/Observatory/Ground/Molodezhnaya,Molodezhnaya,Molodezhnaya,Observatory Station Code: MOL,['Observatory Station Code: MOL']
spase://SMWG/Observatory/Ground/Monte.Capellino,Monte Capellino,Monte Capellino,Observatory Station Code: MCP,['Observatory Station Code: MCP']
spase://SMWG/Observatory/Ground/Mould.Bay,Mould Bay,Mould Bay,Observatory Station Code: MBC,['Observatory Station Code: MBC']
spase://SMWG/Observatory/Ground/Muntinlupa,Muntinlupa,Muntinlupa,Observatory Station Code: MUT,['Observatory Station Code: MUT']
spase://SMWG/Observatory/Ground/Muono,MUO,Muono Geophysical Observatory,Observatory Station Code: Muo,['Observatory Station Code: Muo']
spase://SMWG/Observatory/Ground/Murchison.Bay,Murchison Bay,Murchison Bay,Observatory Station Code: MUB,['Observatory Station Code: MUB']
spase://SMWG/Observatory/Ground/NAE,Near Conjugate Northern Auroral Electrojet Index,Near Conjugate Northern Auroral Electrojet Index,Near Conjugate Northern Auroral Electrojet Index,['']
spase://SMWG/Observatory/Ground/Nagpur,Nagpur,Nagpur,Observatory Station Code: NGP,['Observatory Station Code: NGP']
spase://SMWG/Observatory/Ground/Nagycenk,Nagycenk,Nagycenk,Observatory Station Code: NCK,['Observatory Station Code: NCK']
spase://SMWG/Observatory/Ground/Nain,Nain Geophysical Observatory,Nain Geophysical Observatory,Observatory Station Code: NAIN,['Observatory Station Code: NAIN']
spase://SMWG/Observatory/Ground/Nairobi,Nairobi,Nairobi,Observatory Station Code: NAI,['Observatory Station Code: NAI']
spase://SMWG/Observatory/Ground/Nampula,Nampula,Nampula,Observatory Station Code: NMP,['Observatory Station Code: NMP']
spase://SMWG/Observatory/Ground/Narsarsuaq,NRSQ,Narsarsuaq Geophysical Observatory,Observatory Station Code: NRSQ,['Observatory Station Code: NRSQ']
spase://SMWG/Observatory/Ground/NASA.Stennis.Space.Center,BSL,NASA Stennis Space Center Geophysical Observatory,Observatory Station Code: BSL,['Observatory Station Code: BSL']
spase://SMWG/Observatory/Ground/Neumayer.Station.III,Neumayer Station III,Neumayer Station III,Observatory Station Code: VNA,['Observatory Station Code: VNA']
spase://SMWG/Observatory/Ground/Newport,Newport,Newport,Observatory Station Code: NEW,['Observatory Station Code: NEW']
spase://SMWG/Observatory/Ground/Niemegk,Niemegk,Niemegk,Observatory Station Code: NGK,['Observatory Station Code: NGK']
spase://SMWG/Observatory/Ground/Nord,Nord Geophysical Observatory,Nord Geophysical Observatory,Observatory Station Code: NRD,['Observatory Station Code: NRD']
spase://SMWG/Observatory/Ground/Nordkapp,NOR,Nordkapp Geophysical Observatory,Observatory Station Code: NOR,['Observatory Station Code: NOR']
spase://SMWG/Observatory/Ground/Norway.Station,Norway Station,Norway Station,Observatory Station Code: NWS,['Observatory Station Code: NWS']
spase://SMWG/Observatory/Ground/Novokazalinsk,Novokazalinsk,Novokazalinsk,Observatory Station Code: NKK,['Observatory Station Code: NKK']
spase://SMWG/Observatory/Ground/Novolazarevskaya,Novolazarevskaya,Novolazarevskaya,Observatory Station Code: NVL,['Observatory Station Code: NVL']
spase://SMWG/Observatory/Ground/Novosibirsk,Novosibirsk,Novosibirsk,Observatory Station Code: NVS,"['Klyuchi', 'Observatory Station Code: NVS']"
spase://SMWG/Observatory/Ground/Nurmijarvi,Nurmijarvi Geophysical Observatory,Nurmijarvi Geophysical Observatory,Observatory Station Code: NUR,['Observatory Station Code: NUR']
spase://SMWG/Observatory/Ground/Nuuk,GHB,Nuuk Geophysical Observatory,Godthap Vector Magnetic Field 1.0 min Data Geophysical Observatory,"['Godthap Vector Magnetic Field 1.0 min Data Geophysical Observatory', 'Observatory Station Code: GHB']"
spase://SMWG/Observatory/Ground/Ny.Alesund,Ny Alesund Geophysical Observatory,Ny Alesund Geophysical Observatory,Observatory Station Code: NAL,['Observatory Station Code: NAL']
spase://SMWG/Observatory/Ground/Nyalesund,NAL,Nyalesund,Observatory Station Code: NAL,['Observatory Station Code: NAL']
spase://SMWG/Observatory/Ground/Oasis,Oasis,Oasis,Observatory Station Code: OAS,['Observatory Station Code: OAS']
spase://SMWG/Observatory/Ground/Ottawa,Ottawa Geophysical Observatory,Ottawa Geophysical Observatory,Observatory Station Code: OTT,['Observatory Station Code: OTT']
spase://SMWG/Observatory/Ground/Oulujarvi,Oulujarvi Geophysical Observatory,Oulujarvi Geophysical Observatory,Observatory Station Code: OUJ,['Observatory Station Code: OUJ']
spase://SMWG/Observatory/Ground/Paamiut,FHB,Paamiut Geophysical Observatory,Frederikshap Vector Magnetic Field 1.0 min Data Geophysical Observatory,"['Observatory Station Code: FHB', 'Frederikshap Vector Magnetic Field 1.0 min Data Geophysical Observatory']"
spase://SMWG/Observatory/Ground/Pamatai,Pamatai,Pamatai,Observatory Station Code: PPT,"['Papeete', 'Observatory Station Code: PPT']"
spase://SMWG/Observatory/Ground/Panagjurishte,Panagjurishte,Panagjurishte,Observatory Station Code: PAG,['Observatory Station Code: PAG']
spase://SMWG/Observatory/Ground/Pangnirtung,PANG,Pangnirtung Geophysical Observatory,Observatory Station Code: PANG,['Observatory Station Code: PANG']
spase://SMWG/Observatory/Ground/Paramaribo,Paramaribo,Paramaribo,Observatory Station Code: PAB,['Observatory Station Code: PAB']
spase://SMWG/Observatory/Ground/Paratunka,Paratunka,Paratunka,Observatory Station Code: PET,"['Petropavlovsk', 'Observatory Station Code: PET']"
spase://SMWG/Observatory/Ground/Parc.St.Maur,Parc St Maur,Parc St Maur,Observatory Station Code: PSM,['Observatory Station Code: PSM']
spase://SMWG/Observatory/Ground/Park.Site,PKS,Park Site Geophysical Observatory,Observatory Station Code: PKS,['Observatory Station Code: PKS']
spase://SMWG/Observatory/Ground/Patrony,Patrony,Patrony,Observatory Station Code: IRT,['Observatory Station Code: IRT']
spase://SMWG/Observatory/Ground/Pedeli,Pedeli,Pedeli,Observatory Station Code: PEG,"['Penteli', 'Observatory Station Code: PEG']"
spase://SMWG/Observatory/Ground/Pello,PEL,Pello Geophysical Observatory,Observatory Station Code: PEL,['Observatory Station Code: PEL']
spase://SMWG/Observatory/Ground/Pelly.Bay,Pelly Bay Geophysical Observatory,Pelly Bay Geophysical Observatory,Observatory Station Code: PEB,['Observatory Station Code: PEB']
spase://SMWG/Observatory/Ground/PENGUIn,PENGUIn,PENGUIn,Polar Experimental Network for Geospace Upper atmosphere Investigations,['Polar Experimental Network for Geospace Upper atmosphere Investigations']
spase://SMWG/Observatory/Ground/PENGUIn.0,PG0,PENGUIn-0 Geophysical Observatory,Observatory Station Code: PG0,['Observatory Station Code: PG0']
spase://SMWG/Observatory/Ground/PENGUIn.1,PG1,PENGUIn-1 Geophysical Observatory,Observatory Station Code: PG1,['Observatory Station Code: PG1']
spase://SMWG/Observatory/Ground/PENGUIn.2,PG2,PENGUIn-2 Geophysical Observatory,Observatory Station Code: PG2,['Observatory Station Code: PG2']
spase://SMWG/Observatory/Ground/PENGUIn.3,PG3,PENGUIn-3 Geophysical Observatory,Observatory Station Code: PG3,['Observatory Station Code: PG3']
spase://SMWG/Observatory/Ground/PENGUIn.4,PG4,PENGUIn-4 Geophysical Observatory,Observatory Station Code: PG4,['Observatory Station Code: PG4']
spase://SMWG/Observatory/Ground/PENGUIn.5,PG5,PENGUIn-5 Geophysical Observatory,Observatory Station Code: PG5,['Observatory Station Code: PG5']
spase://SMWG/Observatory/Ground/Petersburg,PTRS,Petersburg Geophysical Observatory,Observatory Station Code: PTRS,['Observatory Station Code: PTRS']
spase://SMWG/Observatory/Ground/Pevek,PBK,Pevek Geophysical Observatory,Observatory Station Code: PBK,['Observatory Station Code: PBK']
spase://SMWG/Observatory/Ground/Phuthuy,Phuthuy,Phuthuy,Observatory Station Code: PHU,['Observatory Station Code: PHU']
spase://SMWG/Observatory/Ground/Pilar,Pilar,Pilar,Observatory Station Code: PIL,['Observatory Station Code: PIL']
spase://SMWG/Observatory/Ground/Pinawa,PINA,Pinawa Geophysical Observatory,Observatory Station Code: PINA,['Observatory Station Code: PINA']
spase://SMWG/Observatory/Ground/Pine.Ridge,PINE,Pine Ridge Geophysical Observatory,Observatory Station Code: PINE,['Observatory Station Code: PINE']
spase://SMWG/Observatory/Ground/Pionerskaya,Pionerskaya,Pionerskaya,Observatory Station Code: PIO,['Observatory Station Code: PIO']
spase://SMWG/Observatory/Ground/Plateau,Plateau,Plateau,Observatory Station Code: PTU,['Observatory Station Code: PTU']
spase://SMWG/Observatory/Ground/Pleshenitzi,Pleshenitzi,Pleshenitzi,Observatory Station Code: MNK,"['Minsk', 'Observatory Station Code: MNK']"
spase://SMWG/Observatory/Ground/Podkamennaya.Tunguska,Podkamennaya Tunguska,Podkamennaya Tunguska,Observatory Station Code: POD,['Observatory Station Code: POD']
spase://SMWG/Observatory/Ground/Poker.Flat,Poker Flat Geophysical Observatory,Poker Flat Geophysical Observatory,Observatory Station Code: POKR,['Observatory Station Code: POKR']
spase://SMWG/Observatory/Ground/Pondicherry,Pondicherry,Pondicherry,Observatory Station Code: PND,['Observatory Station Code: PND']
spase://SMWG/Observatory/Ground/Port.Alfred,Port Alfred,Port Alfred,Observatory Station Code: CZT,['Observatory Station Code: CZT']
spase://SMWG/Observatory/Ground/Port.aux.Francais,Port aux Francais,Port-aux-Francais,Observatory Station Code: PAF,['Observatory Station Code: PAF']
spase://SMWG/Observatory/Ground/Port.Stanley,Port Stanley,Port Stanley,Observatory Station Code: PST,['Observatory Station Code: PST']
spase://SMWG/Observatory/Ground/Poste.de.la.Baleine,Poste de la Baleine,Poste-de-la-Baleine,Observatory Station Code: PBQ,['Observatory Station Code: PBQ']
spase://SMWG/Observatory/Ground/Price,Price,Price,Observatory Station Code: PCU,['Observatory Station Code: PCU']
spase://SMWG/Observatory/Ground/Priddis,ROTH,Priddis Geophysical Observatory,Observatory Station Code: ROTH,['Observatory Station Code: ROTH']
spase://SMWG/Observatory/Ground/Prince.George,PGEO,Prince George Geophysical Observatory,Observatory Station Code: PGEO,['Observatory Station Code: PGEO']
spase://SMWG/Observatory/Ground/Pruhonice,Pruhonice,Pruhonice,Observatory Station Code: PRU,['Observatory Station Code: PRU']
spase://SMWG/Observatory/Ground/Pueblo,PBLO,Pueblo Geophysical Observatory,Observatory Station Code: PBLO,['Observatory Station Code: PBLO']
spase://SMWG/Observatory/Ground/Purcell,PCEL,Purcell Geophysical Observatory,Observatory Station Code: PCEL,['Observatory Station Code: PCEL']
spase://SMWG/Observatory/Ground/Puvirnituq,PUVR,Puvirnituq Geophysical Observatory,Observatory Station Code: PUVR,['Observatory Station Code: PUVR']
spase://SMWG/Observatory/Ground/Qaanaaq,THL,Qaanaaq Geophysical Observatory,Observatory Station Code: THL,"['Observatory Station Code: THL', 'Thule Geophysical Observatory']"
spase://SMWG/Observatory/Ground/Qeqertarsuaq,GDH,Qeqertarsuaq Geophysical Observatory,Godhavn Geophysical Observatory,"['Observatory Station Code: GDH', 'Godhavn Geophysical Observatory']"
spase://SMWG/Observatory/Ground/Qianling,Qianling,Qianling,Observatory Station Code: QIX,['Observatory Station Code: QIX']
spase://SMWG/Observatory/Ground/Qiongzhong,Qiongzhong,Qiongzhong,Observatory Station Code: QGZ,['Observatory Station Code: QGZ']
spase://SMWG/Observatory/Ground/Qsaybeh,Qsaybeh,Qsaybeh,Observatory Station Code: QSB,['Observatory Station Code: QSB']
spase://SMWG/Observatory/Ground/Quanzhou,Quanzhou,Quanzhou,Observatory Station Code: QZH,['Observatory Station Code: QZH']
spase://SMWG/Observatory/Ground/Quetta,Quetta,Quetta,Observatory Station Code: QUE,['Observatory Station Code: QUE']
spase://SMWG/Observatory/Ground/Radisson,RADI,Radisson Geophysical Observatory,Radisson Geophysical Observatory,['']
spase://SMWG/Observatory/Ground/RAM,RAM,Russian Arctic and Antarctic Magnetometer network,RAM,['RAM']
spase://SMWG/Observatory/Ground/Rankin.Inlet,Rankin Inlet Geophysical Observatory,Rankin Inlet Geophysical Observatory,Observatory Station Code: RANK,['Observatory Station Code: RANK']
spase://SMWG/Observatory/Ground/Ranua,RAN,Ranua Geophysical Observatory,Observatory Station Code: RAN,['Observatory Station Code: RAN']
spase://SMWG/Observatory/Ground/Red.Deer,REDR,Red Deer Geophysical Observatory,Observatory Station Code: REDR,['Observatory Station Code: REDR']
spase://SMWG/Observatory/Ground/Remus,RMUS,Remus Geophysical Observatory,Observatory Station Code: RMUS,['Observatory Station Code: RMUS']
spase://SMWG/Observatory/Ground/Repulse.Bay,RBAY,Repulse Bay Geophysical Observatory,Observatory Station Code: RBAY,['Observatory Station Code: RBAY']
spase://SMWG/Observatory/Ground/Resolute.Bay,Resolute Bay,Resolute Bay,Observatory Station Code: RES,['Observatory Station Code: RES']
spase://SMWG/Observatory/Ground/Richardson,RICH,Richardson Geophysical Observatory,Observatory Station Code: RICH,['Observatory Station Code: RICH']
spase://SMWG/Observatory/Ground/Roburent,Roburent,Roburent,Observatory Station Code: ROB,['Observatory Station Code: ROB']
spase://SMWG/Observatory/Ground/Roemoe,ROE,Roemoe,Observatory Station Code: ROE,['Observatory Station Code: ROE']
spase://SMWG/Observatory/Ground/Roi.Baudouin.2,Roi Baudouin,Roi Baudouin 2,Observatory Station Code: RBD,['Observatory Station Code: RBD']
spase://SMWG/Observatory/Ground/Romo,Romo Geophysical Observatory,Romo Geophysical Observatory,Romo Geophysical Observatory,['']
spase://SMWG/Observatory/Ground/Rorvik,RVK,Rorvik Geophysical Observatory,Observatory Station Code: RVK,['Observatory Station Code: RVK']
spase://SMWG/Observatory/Ground/Rude.Skov,Rude Skov,Rude Skov,Observatory Station Code: RSV,['Observatory Station Code: RSV']
spase://SMWG/Observatory/Ground/Sabhawala,Sabhawala,Sabhawala,Observatory Station Code: SAB,['Observatory Station Code: SAB']
spase://SMWG/Observatory/Ground/Sable.Island,Sable Island,Sable Island,Observatory Station Code: SBL,['Observatory Station Code: SBL']
spase://SMWG/Observatory/Ground/SAE,Southern Auroral Electrojet Index,Southern Auroral Electrojet Index,Southern Auroral Electrojet Index,['']
spase://SMWG/Observatory/Ground/Saint.Felicien,STFL,Saint-Felicien Geophysical Observatory,Observatory Station Code: STFL,['Observatory Station Code: STFL']
spase://SMWG/Observatory/Ground/Saint.Johns,Saint Johns,Saint Johns,Observatory Station Code: STJ,['Observatory Station Code: STJ']
spase://SMWG/Observatory/Ground/Salluit,SALU,Salluit Geophysical Observatory,Observatory Station Code: SALU,['Observatory Station Code: SALU']
spase://SMWG/Observatory/Ground/SAMBA,SAMBA Ground Observatory Group,SAMBA Ground Observatory Group,Chain of ground stations in the SAMBA Array.,"['Chain of ground stations in the SAMBA Array.', 'SAMBA Ground Observatory Group']"
spase://SMWG/Observatory/Ground/SAMBA/Antofagasta,Antofagasta,Antofagasta,Antofagasta,['']
spase://SMWG/Observatory/Ground/SAMBA/Escudero,Escudero,Escudero,Escudero,['']
spase://SMWG/Observatory/Ground/SAMBA/La.Serena,La Serena,La Serena,La Serena,['']
spase://SMWG/Observatory/Ground/SAMBA/Los.Cerrillos,Los Cerrillos,Los Cerrillos,Los Cerrillos,['']
spase://SMWG/Observatory/Ground/SAMBA/O.Higgins,O'Higgins,O'Higgins,O'Higgins,['']
spase://SMWG/Observatory/Ground/SAMBA/Osorno,Osorno,Osorno,Osorno,['']
spase://SMWG/Observatory/Ground/SAMBA/Puerto.Natales,Puerto Natales,Puerto Natales,Puerto Natales,['']
spase://SMWG/Observatory/Ground/SAMBA/Punta.Arenas,Punta Arenas,Punta Arenas,Punta Arenas,['']
spase://SMWG/Observatory/Ground/SAMBA/Putre,Putre,Putre,Putre,['']
spase://SMWG/Observatory/Ground/SAMBA/Valdivia,Valdivia,Valdivia,Valdivia,['']
spase://SMWG/Observatory/Ground/San.Antonio,SATX,San Antonio Geophysical Observatory,Observatory Station Code: SATX,['Observatory Station Code: SATX']
spase://SMWG/Observatory/Ground/San.Fernando,San Fernando,San Fernando,Observatory Station Code: SFS,['Observatory Station Code: SFS']
spase://SMWG/Observatory/Ground/San.Juan,San Juan Geophysical Observatory,San Juan Geophysical Observatory,Observatory Station Code: SJG,['Observatory Station Code: SJG']
spase://SMWG/Observatory/Ground/San.Pablo.Toledo,San Pablo Toledo,San Pablo-Toledo,Observatory Station Code: SPT,['Observatory Station Code: SPT']
spase://SMWG/Observatory/Ground/Sanae.III,Sanae III,Sanae III,Observatory Station Code: SNA,['Observatory Station Code: SNA']
spase://SMWG/Observatory/Ground/Sanikiluaq,SNKQ,Sanikiluaq Geophysical Observatory,Observatory Station Code: SNKQ,['Observatory Station Code: SNKQ']
spase://SMWG/Observatory/Ground/Sao.Miguel,Sao Miguel,Sao Miguel,Observatory Station Code: SMG,['Observatory Station Code: SMG']
spase://SMWG/Observatory/Ground/Savissivik,SVS,Savissivik Geophysical Observatory,Observatory Station Code: SVS,['Observatory Station Code: SVS']
spase://SMWG/Observatory/Ground/Schefferville,SCHF,Schefferville Geophysical Observatory,Observatory Station Code: SCHF,['Observatory Station Code: SCHF']
spase://SMWG/Observatory/Ground/Scoresby.Sund.2,Scoresby Sund,Scoresby Sund 2,Observatory Station Code: SCO,['Observatory Station Code: SCO']
spase://SMWG/Observatory/Ground/Sept.Iles,SEPT,Sept Iles Geophysical Observatory,Observatory Station Code: SEPT,['Observatory Station Code: SEPT']
spase://SMWG/Observatory/Ground/Shawano,SWNO,Shawano Geophysical Observatory,Observatory Station Code: SWNO,['Observatory Station Code: SWNO']
spase://SMWG/Observatory/Ground/Sheshan,Sheshan,Sheshan,Observatory Station Code: SSH,"['Zo-Se', 'Observatory Station Code: SSH']"
spase://SMWG/Observatory/Ground/Shillong,Shillong,Shillong,Observatory Station Code: SHL,['Observatory Station Code: SHL']
spase://SMWG/Observatory/Ground/Shumagin,Shumagin Geophysical Observatory,Shumagin Geophysical Observatory,Observatory Station Code: SHU,['Observatory Station Code: SHU']
spase://SMWG/Observatory/Ground/Silchar,Silchar,Silchar,Observatory Station Code: SIL,['Observatory Station Code: SIL']
spase://SMWG/Observatory/Ground/Simosato,Simosato,Simosato,Observatory Station Code: SSO,['Observatory Station Code: SSO']
spase://SMWG/Observatory/Ground/Sitka,Sitka Geophysical Observatory,Sitka Geophysical Observatory,Observatory Station Code: SIT,['Observatory Station Code: SIT']
spase://SMWG/Observatory/Ground/Snap.Lake,SNAP,Snap Lake Geophysical Observatory,Observatory Station Code: SNAP,['Observatory Station Code: SNAP']
spase://SMWG/Observatory/Ground/Sodankyla,Sodankyla,Sodankyla,Observatory Station Code: SOD,['Observatory Station Code: SOD']
