SPASE_ResourceID,SPASE_ResourceName,HelioData_short_name
spase://SMWG/Observatory/McMAC/Worthington,Mid continent Magnetoseismic Chain (McMAC) Worthington Station,Mid-continent Magnetoseismic Chain (McMAC) Worthington Station
spase://SMWG/Observatory/MetOp/A,MetOp A,MetOp-A
spase://SMWG/Observatory/MetOp/B,MetOp A,MetOp-A
spase://SMWG/Observatory/MGS,MGS,Mars Global Surveyor
spase://SMWG/Observatory/MICA,Magnetosphere Ionosphere Coupling in the Alfvén resonator (MICA),Magnetosphere-Ionosphere Coupling in the Alfvén resonator (MICA)
spase://SMWG/Observatory/MMS/1,MMS 1,MMS-1
spase://SMWG/Observatory/MMS/2,MMS 2,MMS-2
spase://SMWG/Observatory/MMS/3,MMS 3,MMS-3
spase://SMWG/Observatory/MMS/4,MMS 4,MMS-4
spase://SMWG/Observatory/Nimbus7,Nimbus,Nimbus 7
spase://SMWG/Observatory/NOAA/9,NOAA,NOAA 9
spase://SMWG/Observatory/OGO,OGO,OGO Satellites
spase://SMWG/Observatory/OV1-19,OV1 19,OV1-19
spase://SMWG/Observatory/OV3-3,OV3 3,OV3-3
spase://SMWG/Observatory/ParkerSolarProbe,PSP,Parker Solar Probe Spacecraft
spase://SMWG/Observatory/Phobos2,Phobos,Phobos 2
spase://SMWG/Observatory/Pioneer,Pioneer,Pioneer Spacecraft Series
spase://SMWG/Observatory/POES,Polar orbiting Operational Environmental Satellite (POES),Polar-orbiting Operational Environmental Satellite (POES)
spase://SMWG/Observatory/POLAR,Polar,POLAR
spase://SMWG/Observatory/PROBA2,PROBA 2,PROBA2
spase://SMWG/Observatory/Prognoz,Prognoz,Prognoz Spacecraft Series
spase://SMWG/Observatory/RBSP,RBSP,Radiation Belt Storm Probe Satellite
spase://SMWG/Observatory/RENU2,RENU 2,"Rocket Experiment for Neutral Upwelling 2, RENU 2, Sounding Rocket Payload"
spase://SMWG/Observatory/S-Cubed_A,S-Cubed_A,S-Cubed A
spase://SMWG/Observatory/S3-3,S3 3,S3-3
spase://SMWG/Observatory/SAC-C,SAC-C,SAC-C Project
spase://SMWG/Observatory/SanMarco-DL,San Marco DL,San Marco-DL
spase://SMWG/Observatory/SMILE,Solar wind Magnetosphere Ionosphere Link Explorer (SMILE),Solar wind-Magnetosphere-Ionosphere Link Explorer (SMILE)
spase://SMWG/Observatory/SNOE,SNOE,Student Nitric Oxide Explorer (SNOE)
spase://SMWG/Observatory/ST5,ST5,ST5 Mission
spase://SMWG/Observatory/ST5-094,ST5 094,ST5-094
spase://SMWG/Observatory/ST5-155,ST5 155,ST5-155
spase://SMWG/Observatory/ST5-224,ST5 224,ST5-224
spase://SMWG/Observatory/STEP,Solar Terrestrial Energy Program,Solar-Terrestrial Energy Program
spase://SMWG/Observatory/STEREO,STEREO,STEREO Mission
spase://SMWG/Observatory/STPSat1,STPSat 1,STPSat-1
spase://SMWG/Observatory/THEMIS/Ground,THEMIS Ground,THEMIS-Associated Ground Magnetometer Stations
spase://SMWG/Observatory/THEMIS/Ground/GIMA,THEMIS GIMA,THEMIS-GIMA
spase://SMWG/Observatory/THEMIS/Ground/UCLA-EPO,EPO,THEMIS-EPO
spase://SMWG/Observatory/THEMIS/Ground/UCLA-GBO,THEMIS GBO,THEMIS-GBO
spase://SMWG/Observatory/TWINS,TWINS,TWINS Mission
spase://SMWG/Observatory/UCLA/SPSG,SPSG,Space Plasma Simulation Group
spase://SMWG/Observatory/Vega,Vega,Vega Mission
spase://SMWG/Observatory/Voyager,Voyager,Voyager Spacecraft
spase://SMWG/Observatory/WDC/Chambon.la.Foret,Chambon la Foret Ground Observatory,Chambon-la-Foret Ground Observatory
spase://SMWG/Observatory/WDC/San.Pablo.Toledo,San Pablo Toledo Ground Observatory,San Pablo-Toledo Ground Observatory
spase://SMWG/Observatory/WDC/Zo.Se,Zo Se Ground Observatory,Zo-Se Ground Observatory
spase://SMWG/Observatory/Zond-3,Zond,Zond 3
