SPASE_ResourceID,SPASE_ResourceName,HelioData_short_name
spase://SMWG/Observatory/Ground/Dead.Horse,DED,Dead Horse Geophysical Observatory
spase://SMWG/Observatory/Ground/Dededo,GUA,Dededo Geophysical Observatory
spase://SMWG/Observatory/Ground/Derby,DRBY,Derby Geophysical Observatory
spase://SMWG/Observatory/Ground/Eagle,EAGL,Eagle Geophysical Observatory
spase://SMWG/Observatory/Ground/Ekati,EKAT,Ekati Geophysical Observatory
spase://SMWG/Observatory/Ground/Fort.Nelson,FTN,Fort Nelson Geophysical Observatory
spase://SMWG/Observatory/Ground/Fort.St.John,FSJ,Fort St. John Geophysical Observatory
spase://SMWG/Observatory/Ground/Fort.Yates,FYTS,Fort Yates Geophysical Observatory
spase://SMWG/Observatory/Ground/GFZ,GeoForschungsZentrum,GeoForschungsZentrum 
spase://SMWG/Observatory/Ground/GIMA,GIMA,Geophysical Institute Magnetometer Array
spase://SMWG/Observatory/Ground/Gjoa.Haven,GJOA,Gjoa Haven Geophysical Observatory
spase://SMWG/Observatory/Ground/Glyndon,GLYN,Glyndon Geophysical Observatory
spase://SMWG/Observatory/Ground/GMAG,GMAG,THEMIS-Associated Ground Magnetometer Stations
spase://SMWG/Observatory/Ground/Goose.Bay,GBAY,Goose Bay Geophysical Observatory
spase://SMWG/Observatory/Ground/Harris,HRIS,Harris Geophysical Observatory
spase://SMWG/Observatory/Ground/Igloolik,IGLO,Igloolik Geophysical Observatory
spase://SMWG/Observatory/Ground/Inukjuak,INUK,Inukjuak Geophysical Observatory
spase://SMWG/Observatory/Ground/Istanbul.Kandilli,Istanbul Kandilli,Istanbul-Kandilli
spase://SMWG/Observatory/Ground/Ittoqqortoormiit,SCO,Ittoqqortoormiit Geophysical Observatory
spase://SMWG/Observatory/Ground/Jackvik,JCK,Jackvik Geophysical Observatory
spase://SMWG/Observatory/Ground/Kaktovik,KAKO,Kaktovik Geophysical Observatory
spase://SMWG/Observatory/Ground/Kangerlussuaq,STF,Kangerlussuaq Geophysical Observatory
spase://SMWG/Observatory/Ground/Kapuskasing,KAPU,Kapuskasing Geophysical Observatory
spase://SMWG/Observatory/Ground/Karmoy,KAR,Karmoy Geophysical Observatory
spase://SMWG/Observatory/Ground/Kenai,KENA,Kenai Geophysical Observatory
spase://SMWG/Observatory/Ground/Kevo,KEV,Kevo Geophysical Observatory
spase://SMWG/Observatory/Ground/Kiana,KIAN,Kiana Geophysical Observatory
spase://SMWG/Observatory/Ground/Kilpisjarvi,KIL,Kilpisjarvi Geophysical Observatory
spase://SMWG/Observatory/Ground/Kodiak,KODK,Kodiak Geophysical Observatory
spase://SMWG/Observatory/Ground/Kullorsuaq,KUV,Kullorsuaq Geophysical Observatory
spase://SMWG/Observatory/Ground/Kuujjuaq,KUUJ,Kuujjuaq Geophysical Observatory
spase://SMWG/Observatory/Ground/Kuujjuarapik,KJPK,Kuujjuarapik Geophysical Observatory
spase://SMWG/Observatory/Ground/La.Ronge,LRG,La Ronge Geophysical Observatory
spase://SMWG/Observatory/Ground/Laurel,LREL,Laurel Geophysical Observatory
spase://SMWG/Observatory/Ground/Lethbridge,LETH,Lethbridge Geophysical Observatory
spase://SMWG/Observatory/Ground/Linares,LRES,Linares Geophysical Observatory
spase://SMWG/Observatory/Ground/Longyearbyen,LYR,Longyearbyen Geophysical Observatory
spase://SMWG/Observatory/Ground/Loysburg,LOYS,Loysburg Geophysical Observatory
spase://SMWG/Observatory/Ground/Lyford,LYFD,Lyford Geophysical Observatory
spase://SMWG/Observatory/Ground/MACCS,MACCS,Magnetometer Array for Cusp and Cleft Studies
spase://SMWG/Observatory/Ground/Maniitsoq,SKT,Maniitsoq Geophysical Observatory
spase://SMWG/Observatory/Ground/Masi,MAS,Masi Geophysical Observatory
spase://SMWG/Observatory/Ground/McGrath,MCGR,McGrath Geophysical Observatory
spase://SMWG/Observatory/Ground/McMAC,McMAC,"Mid-continent Magnetoseismic Chain, McMAC, Observatory Chain"
spase://SMWG/Observatory/Ground/Mekrijarvi,MEK,Mekrijarvi Geophysical Observatory
spase://SMWG/Observatory/Ground/Muono,MUO,Muono Geophysical Observatory
spase://SMWG/Observatory/Ground/Narsarsuaq,NRSQ,Narsarsuaq Geophysical Observatory
spase://SMWG/Observatory/Ground/NASA.Stennis.Space.Center,BSL,NASA Stennis Space Center Geophysical Observatory
spase://SMWG/Observatory/Ground/Nordkapp,NOR,Nordkapp Geophysical Observatory
spase://SMWG/Observatory/Ground/Nuuk,GHB,Nuuk Geophysical Observatory
spase://SMWG/Observatory/Ground/Nyalesund,NAL,Nyalesund
spase://SMWG/Observatory/Ground/Paamiut,FHB,Paamiut Geophysical Observatory
spase://SMWG/Observatory/Ground/Pangnirtung,PANG,Pangnirtung Geophysical Observatory
spase://SMWG/Observatory/Ground/Park.Site,PKS,Park Site Geophysical Observatory
spase://SMWG/Observatory/Ground/Pello,PEL,Pello Geophysical Observatory
spase://SMWG/Observatory/Ground/PENGUIn.0,PG0,PENGUIn-0 Geophysical Observatory
spase://SMWG/Observatory/Ground/PENGUIn.1,PG1,PENGUIn-1 Geophysical Observatory
spase://SMWG/Observatory/Ground/PENGUIn.2,PG2,PENGUIn-2 Geophysical Observatory
spase://SMWG/Observatory/Ground/PENGUIn.3,PG3,PENGUIn-3 Geophysical Observatory
spase://SMWG/Observatory/Ground/PENGUIn.4,PG4,PENGUIn-4 Geophysical Observatory
spase://SMWG/Observatory/Ground/PENGUIn.5,PG5,PENGUIn-5 Geophysical Observatory
spase://SMWG/Observatory/Ground/Petersburg,PTRS,Petersburg Geophysical Observatory
spase://SMWG/Observatory/Ground/Pevek,PBK,Pevek Geophysical Observatory
spase://SMWG/Observatory/Ground/Pine.Ridge,PINE,Pine Ridge Geophysical Observatory
spase://SMWG/Observatory/Ground/Port.aux.Francais,Port aux Francais,Port-aux-Francais
spase://SMWG/Observatory/Ground/Poste.de.la.Baleine,Poste de la Baleine,Poste-de-la-Baleine
spase://SMWG/Observatory/Ground/Priddis,ROTH,Priddis Geophysical Observatory
spase://SMWG/Observatory/Ground/Prince.George,PGEO,Prince George Geophysical Observatory
spase://SMWG/Observatory/Ground/Pueblo,PBLO,Pueblo Geophysical Observatory
spase://SMWG/Observatory/Ground/Purcell,PCEL,Purcell Geophysical Observatory
spase://SMWG/Observatory/Ground/Puvirnituq,PUVR,Puvirnituq Geophysical Observatory
spase://SMWG/Observatory/Ground/Qaanaaq,THL,Qaanaaq Geophysical Observatory
spase://SMWG/Observatory/Ground/Qeqertarsuaq,GDH,Qeqertarsuaq Geophysical Observatory
spase://SMWG/Observatory/Ground/Radisson,RADI,Radisson Geophysical Observatory
spase://SMWG/Observatory/Ground/RAM,RAM,Russian Arctic and Antarctic Magnetometer network
spase://SMWG/Observatory/Ground/Ranua,RAN,Ranua Geophysical Observatory
spase://SMWG/Observatory/Ground/Red.Deer,REDR,Red Deer Geophysical Observatory
spase://SMWG/Observatory/Ground/Remus,RMUS,Remus Geophysical Observatory
spase://SMWG/Observatory/Ground/Repulse.Bay,RBAY,Repulse Bay Geophysical Observatory
spase://SMWG/Observatory/Ground/Richardson,RICH,Richardson Geophysical Observatory
spase://SMWG/Observatory/Ground/Roemoe,ROE,Roemoe
spase://SMWG/Observatory/Ground/Rorvik,RVK,Rorvik Geophysical Observatory
spase://SMWG/Observatory/Ground/Saint.Felicien,STFL,Saint-Felicien Geophysical Observatory
spase://SMWG/Observatory/Ground/Salluit,SALU,Salluit Geophysical Observatory
spase://SMWG/Observatory/Ground/San.Antonio,SATX,San Antonio Geophysical Observatory
spase://SMWG/Observatory/Ground/San.Pablo.Toledo,San Pablo Toledo,San Pablo-Toledo
spase://SMWG/Observatory/Ground/Sanikiluaq,SNKQ,Sanikiluaq Geophysical Observatory
spase://SMWG/Observatory/Ground/Savissivik,SVS,Savissivik Geophysical Observatory
spase://SMWG/Observatory/Ground/Schefferville,SCHF,Schefferville Geophysical Observatory
spase://SMWG/Observatory/Ground/Sept.Iles,SEPT,Sept Iles Geophysical Observatory
spase://SMWG/Observatory/Ground/Shawano,SWNO,Shawano Geophysical Observatory
spase://SMWG/Observatory/Ground/Snap.Lake,SNAP,Snap Lake Geophysical Observatory
spase://SMWG/Observatory/Ground/Solund,SOL,Solund Geophysical Observatory
spase://SMWG/Observatory/Ground/Soroya,SOR,Soroya Geophysical Observatory
spase://SMWG/Observatory/Ground/Stanford,STFD,Stanford Geophysical Observatory
spase://SMWG/Observatory/Ground/STEP,STEP,STEP Observatory Group
spase://SMWG/Observatory/Ground/Summit,SUM,Summit Geophysical Observatory
spase://SMWG/Observatory/Ground/Tartu,TAR,Tartu Geophysical Observatory
spase://SMWG/Observatory/Ground/The.Pas,TPAS,The Pas
spase://SMWG/Observatory/Ground/Thule.Air.Base,TAB,Thule Air Base Geophysical Observatory
