HelioData_short_name,HelioData_long_name,SPASE_AlternateName,SPASE_ResourceName
Dst Index Observatory Group,Dst Index Observatory Group,Observatory Group created to represent the chain of magnetic field stations used to calculate the Dst Index.,['Observatory Group created to represent the chain of magnetic field stations used to calculate the Dst Index.']
DSX,DSX,Demonstrations and Science Experiment,['Demonstrations and Science Experiment']
Technical University of Denmark Magnetic Ground Stations,Technical University of Denmark Magnetic Ground Stations,Technical University of Denmark Magnetic Ground Stations,['']
Dynamics Explorer 1,Dynamics Explorer 1,Dynamics Explorer-A,"['1981-070A', 'Explorer 62', 'DE-A', 'DE 1', 'Dynamics Explorer-A']"
Dynamics Explorer 2,Dynamics Explorer 2,Dynamics Explorer-B,"['1981-070B', 'Explorer 63', 'DE-B', 'DE 2', 'Dynamics Explorer-B']"
e CALLISTO International Network of Solar Radio Spectrometers,e-CALLISTO International Network of Solar Radio Spectrometers,e-CALLISTO International Network of Solar Radio Spectrometers,['']
ELFIN A,"ELFIN A, CubeSat","Electron Losses and Fields Investigation A, CubeSat",['']
ELFIN B,"ELFIN B, CubeSat","Electron Losses and Fields Investigation B, CubeSat",['']
Emirates Mars (EMM),Emirates Mars Mission (EMM),Emirates Mars Mission (EMM),['']
Equator S,Equator-S,ISTP/Equator-S,"['ISTP/Equator-S', '25068']"
ESKI,ESKI,ESKI,['']
Evans Solar Facility,Evans Solar Facility,John W. Evans Solar Facility,"['ESF', 'John W. Evans Solar Facility']"
Explorer Spacecraft Series,Explorer Spacecraft Series,Explorer Spacecraft Series,['']
Explorer 22,Explorer 22,Beacon Explorer-B,"['1964-064A', 'BE-B', 'Beacon Explorer-B']"
Explorer 31,Explorer 31,1965-098B,"['1965-098B', 'DME-A', '01806']"
Explorer 32,Explorer 32,Atmosphere Explorer-B,"['1966-044A', 'AE-B', 'Atmosphere Explorer-B', '02183']"
Explorer 33,Explorer 33,AIMP A,"['IMP D', 'AIMP A', 'AIMP 1', '02258']"
Explorer,Explorer 35,Anchored IMP 2,"['IMP E', 'AIMP B', 'AIMP 2', 'Anchored IMP 2', '02884']"
