HelioData_short_name,HelioData_long_name,SPASE_AlternateName,SPASE_ResourceName
Heiss Island,Heiss Island,Observatory Station Code: HIS,['Observatory Station Code: HIS']
Hel,Hel,Observatory Station Code: HLP,['Observatory Station Code: HLP']
Helwan,Helwan,Observatory Station Code: HLW,['Observatory Station Code: HLW']
Hermanus,Hermanus,Observatory Station Code: HER,['Observatory Station Code: HER']
Hollandia,Hollandia,Observatory Station Code: HNA,['Observatory Station Code: HNA']
Homer Geophysical Observatory,Homer Geophysical Observatory,Observatory Station Code: HOMR,['Observatory Station Code: HOMR']
Honolulu Geophysical Observatory,Honolulu Geophysical Observatory,Observatory Station Code: HON,['Observatory Station Code: HON']
Hopen Geophysical Observatory,Hopen Geophysical Observatory,Observatory Station Code: HOP,['Observatory Station Code: HOP']
Hornepayne Geophysical Observatory,Hornepayne Geophysical Observatory,Observatory Station Code: HRP,['Observatory Station Code: HRP']
Hornsund,Hornsund,Observatory Station Code: HRN,['Observatory Station Code: HRN']
Hot Springs Geophysical Observatory,Hot Springs Geophysical Observatory,Observatory Station Code: HOTS,['Observatory Station Code: HOTS']
Hov Faroe Islands Geophysical Observatory,Hov Faroe Islands Geophysical Observatory,Hov Faroe Islands Geophysical Observatory,['']
Huancayo,Huancayo,Observatory Station Code: HUA,['Observatory Station Code: HUA']
Hurbanovo,Hurbanovo,Observatory Station Code: HRB,['Observatory Station Code: HRB']
Hyderabad,Hyderabad,Observatory Station Code: HYB,['Observatory Station Code: HYB']
Ibadan,Ibadan,Observatory Station Code: IBD,['Observatory Station Code: IBD']
IGLO,Igloolik Geophysical Observatory,Observatory Station Code: IGLO,['Observatory Station Code: IGLO']
Indian Institute of Geomagnetism,Indian Institute of Geomagnetism,IIG,['IIG']
International Monitor for Auroral Geomagnetic Effects,International Monitor for Auroral Geomagnetic Effects,IMAGE,['IMAGE']
INTERMAGNET,INTERMAGNET,International Real-time Magnetic Observatory Network,['International Real-time Magnetic Observatory Network']
INUK,Inukjuak Geophysical Observatory,Observatory Station Code: INUK,['Observatory Station Code: INUK']
Inuvik Geophysical Observatory,Inuvik Geophysical Observatory,Observatory Station Code: INUV,['Observatory Station Code: INUV']
Iqaluit Geophysical Observatory,Iqaluit Geophysical Observatory,Observatory Station Code: IQA,['Observatory Station Code: IQA']
Istanbul Kandilli,Istanbul-Kandilli,Observatory Station Code: ISK,['Observatory Station Code: ISK']
SCO,Ittoqqortoormiit Geophysical Observatory,Observatory Station Code: SCO,['Observatory Station Code: SCO']
Ivalo Geophysical Observatory,Ivalo Geophysical Observatory,Observatory Station Code: IVA,['Observatory Station Code: IVA']
Iznik,Iznik,Observatory Station Code: IZN,['Observatory Station Code: IZN']
JCK,Jackvik Geophysical Observatory,Observatory Station Code: JCK,['Observatory Station Code: JCK']
Jaipur,Jaipur,Observatory Station Code: JAI,['Observatory Station Code: JAI']
Jan Mayen Geophysical Observatory,Jan Mayen Geophysical Observatory,Observatory Station Code: JAN,['Observatory Station Code: JAN']
Jarvis Island,Jarvis Island,Observatory Station Code: JRV,['Observatory Station Code: JRV']
Jim Carrigan Observatory,Jim Carrigan Observatory,Observatory Station Code: JCO,['Observatory Station Code: JCO']
Kakadu,Kakadu,Observatory Station Code: KDU,['Observatory Station Code: KDU']
Kakioka,Kakioka,Observatory Station Code: KAK,['Observatory Station Code: KAK']
KAKO,Kaktovik Geophysical Observatory,Observatory Station Code: KAKO,['Observatory Station Code: KAKO']
STF,Kangerlussuaq Geophysical Observatory,Observatory Station Code: STF,['Observatory Station Code: STF']
Kanoya,Kanoya,Observatory Station Code: KNY,['Observatory Station Code: KNY']
Kanozan,Kanozan,Observatory Station Code: KNZ,['Observatory Station Code: KNZ']
KAPU,Kapuskasing Geophysical Observatory,Observatory Station Code: KAPU,['Observatory Station Code: KAPU']
Karachi,Karachi,Observatory Station Code: KRC,['Observatory Station Code: KRC']
KAR,Karmoy Geophysical Observatory,Karmoy Geophysical Observatory,['']
Kashi,Kashi,Observatory Station Code: KSH,['Observatory Station Code: KSH']
Keetmanshoop,Keetmanshoop,Observatory Station Code: KMH,['Observatory Station Code: KMH']
KENA,Kenai Geophysical Observatory,Observatory Station Code: KENA,['Observatory Station Code: KENA']
KEV,Kevo Geophysical Observatory,Observatory Station Code: KEV,['Observatory Station Code: KEV']
KIAN,Kiana Geophysical Observatory,Observatory Station Code: KIAN,['Observatory Station Code: KIAN']
KIL,Kilpisjarvi Geophysical Observatory,Observatory Station Code: KIL,['Observatory Station Code: KIL']
Kiruna,Kiruna,Observatory Station Code: KIR,['Observatory Station Code: KIR']
Kodaikanal,Kodaikanal,Observatory Station Code: KOD,['Observatory Station Code: KOD']
KODK,Kodiak Geophysical Observatory,Observatory Station Code: KODK,['Observatory Station Code: KODK']
Koror,Koror,Observatory Station Code: KOR,['Observatory Station Code: KOR']
Kourou,Kourou,Observatory Station Code: KOU,['Observatory Station Code: KOU']
Krasnaya Pakhra,Krasnaya Pakhra,Observatory Station Code: MOS,"['Moscow', 'Observatory Station Code: MOS']"
KUV,Kullorsuaq Geophysical Observatory,Observatory Station Code: KUV,['Observatory Station Code: KUV']
KUUJ,Kuujjuaq Geophysical Observatory,Observatory Station Code: KUUJ,['Observatory Station Code: KUUJ']
KJPK,Kuujjuarapik Geophysical Observatory,Observatory Station Code: KJPK,['Observatory Station Code: KJPK']
L'Aquila,L'Aquila,Observatory Station Code: AQU,['Observatory Station Code: AQU']
La Paz,La Paz,Observatory Station Code: LPB,['Observatory Station Code: LPB']
La Quiaca,La Quiaca,Observatory Station Code: LQA,['Observatory Station Code: LQA']
LRG,La Ronge Geophysical Observatory,Observatory Station Code: LRG,['Observatory Station Code: LRG']
Lanzhou,Lanzhou,Observatory Station Code: LZH,['Observatory Station Code: LZH']
Las Mesas,Las Mesas,Observatory Station Code: TEN,"['Tenerife', 'Observatory Station Code: TEN']"
LREL,Laurel Geophysical Observatory,Observatory Station Code: LREL,['Observatory Station Code: LREL']
Leadville,Leadville,Observatory Station Code: LDV,['Observatory Station Code: LDV']
Learmonth,Learmonth,Learmonth,['']
Leirvogur Geophysical Observatory,Leirvogur Geophysical Observatory,Leirvogur Geophysical Observatory,['']
Leningradskaya,Leningradskaya,Observatory Station Code: LEN,['Observatory Station Code: LEN']
Lerwick,Lerwick,Observatory Station Code: LER,['Observatory Station Code: LER']
LETH,Lethbridge Geophysical Observatory,Observatory Station Code: LETH,['Observatory Station Code: LETH']
LRES,Linares Geophysical Observatory,Observatory Station Code: LRES,['Observatory Station Code: LRES']
Little America,Little America,Observatory Station Code: LAA,['Observatory Station Code: LAA']
Livingston Island,Livingston Island,Observatory Station Code: LIV,['Observatory Station Code: LIV']
Logrono,Logrono,Observatory Station Code: LGR,['Observatory Station Code: LGR']
LYR,Longyearbyen Geophysical Observatory,Observatory Station Code: LYR,['Observatory Station Code: LYR']
Loparskaya,Loparskaya,Observatory Station Code: MMK,['Observatory Station Code: MMK']
Lovo,Lovo,Observatory Station Code: LOV,['Observatory Station Code: LOV']
Lovozero Geophysical Observatory,Lovozero Geophysical Observatory,Observatory Station Code: LOZ,['Observatory Station Code: LOZ']
LOYS,Loysburg Geophysical Observatory,Observatory Station Code: LOYS,['Observatory Station Code: LOYS']
Luanda Belas,Luanda Belas,Observatory Station Code: LUA,['Observatory Station Code: LUA']
Lucky Lake Geophysical Observatory,Lucky Lake Geophysical Observatory,Observatory Station Code: LCL,['Observatory Station Code: LCL']
Lunping,Lunping,Observatory Station Code: LNP,['Observatory Station Code: LNP']
Lvov,Lvov,Observatory Station Code: LVV,['Observatory Station Code: LVV']
Lwiro,Lwiro,Observatory Station Code: LWI,['Observatory Station Code: LWI']
Lycksele,Lycksele,Observatory Station Code: LYC,['Observatory Station Code: LYC']
LYFD,Lyford Geophysical Observatory,Observatory Station Code: LYFD,['Observatory Station Code: LYFD']
MACCS,Magnetometer Array for Cusp and Cleft Studies,MACCS,['MACCS']
Manhay,Manhay,Observatory Station Code: MAB,['Observatory Station Code: MAB']
SKT,Maniitsoq Geophysical Observatory,Observatory Station Code: SKT,['Observatory Station Code: SKT']
Manzhouli,Manzhouli,Observatory Station Code: MZL,['Observatory Station Code: MZL']
Maputo,Maputo,Observatory Station Code: LMM,['Observatory Station Code: LMM']
Marion Island,Marion Island,Observatory Station Code: MRN,['Observatory Station Code: MRN']
Martin de Vivies,Martin de Vivies,Observatory Station Code: AMS,['Observatory Station Code: AMS']
MAS,Masi Geophysical Observatory,Observatory Station Code: MAS,['Observatory Station Code: MAS']
MLSO,MLSO,Mauna Loa Solar Observatory,['Mauna Loa Solar Observatory']
MBour,MBour,Observatory Station Code: MBO,['Observatory Station Code: MBO']
MCGR,McGrath Geophysical Observatory,Observatory Station Code: MCGR,['Observatory Station Code: MCGR']
McMAC,"Mid-continent Magnetoseismic Chain, McMAC, Observatory Chain","Mid-continent Magnetoseismic Chain, McMAC, Observatory Chain",['']
Meanook Geophysical Observatory,Meanook Geophysical Observatory,Observatory Station Code: MEA,['Observatory Station Code: MEA']
MEK,Mekrijarvi Geophysical Observatory,Observatory Station Code: MEK,['Observatory Station Code: MEK']
Memambetsu,Memambetsu,Observatory Station Code: MMB,['Observatory Station Code: MMB']
Midway,Midway,Observatory Station Code: MID,['Observatory Station Code: MID']
Mirny,Mirny,Observatory Station Code: MIR,['Observatory Station Code: MIR']
Misallat,Misallat,Observatory Station Code: MLT,['Observatory Station Code: MLT']
Mizusawa,Mizusawa,Observatory Station Code: MIZ,['Observatory Station Code: MIZ']
Moca,Moca,Observatory Station Code: MFP,['Observatory Station Code: MFP']
Molodezhnaya,Molodezhnaya,Observatory Station Code: MOL,['Observatory Station Code: MOL']
Monte Capellino,Monte Capellino,Observatory Station Code: MCP,['Observatory Station Code: MCP']
Mould Bay,Mould Bay,Observatory Station Code: MBC,['Observatory Station Code: MBC']
Muntinlupa,Muntinlupa,Observatory Station Code: MUT,['Observatory Station Code: MUT']
MUO,Muono Geophysical Observatory,Observatory Station Code: Muo,['Observatory Station Code: Muo']
Murchison Bay,Murchison Bay,Observatory Station Code: MUB,['Observatory Station Code: MUB']
Near Conjugate Northern Auroral Electrojet Index,Near Conjugate Northern Auroral Electrojet Index,Near Conjugate Northern Auroral Electrojet Index,['']
Nagpur,Nagpur,Observatory Station Code: NGP,['Observatory Station Code: NGP']
Nagycenk,Nagycenk,Observatory Station Code: NCK,['Observatory Station Code: NCK']
Nain Geophysical Observatory,Nain Geophysical Observatory,Observatory Station Code: NAIN,['Observatory Station Code: NAIN']
Nairobi,Nairobi,Observatory Station Code: NAI,['Observatory Station Code: NAI']
Nampula,Nampula,Observatory Station Code: NMP,['Observatory Station Code: NMP']
NRSQ,Narsarsuaq Geophysical Observatory,Observatory Station Code: NRSQ,['Observatory Station Code: NRSQ']
BSL,NASA Stennis Space Center Geophysical Observatory,Observatory Station Code: BSL,['Observatory Station Code: BSL']
Neumayer Station III,Neumayer Station III,Observatory Station Code: VNA,['Observatory Station Code: VNA']
Newport,Newport,Observatory Station Code: NEW,['Observatory Station Code: NEW']
Niemegk,Niemegk,Observatory Station Code: NGK,['Observatory Station Code: NGK']
Nord Geophysical Observatory,Nord Geophysical Observatory,Observatory Station Code: NRD,['Observatory Station Code: NRD']
NOR,Nordkapp Geophysical Observatory,Observatory Station Code: NOR,['Observatory Station Code: NOR']
Norway Station,Norway Station,Observatory Station Code: NWS,['Observatory Station Code: NWS']
Novokazalinsk,Novokazalinsk,Observatory Station Code: NKK,['Observatory Station Code: NKK']
Novolazarevskaya,Novolazarevskaya,Observatory Station Code: NVL,['Observatory Station Code: NVL']
Novosibirsk,Novosibirsk,Observatory Station Code: NVS,"['Klyuchi', 'Observatory Station Code: NVS']"
Nurmijarvi Geophysical Observatory,Nurmijarvi Geophysical Observatory,Observatory Station Code: NUR,['Observatory Station Code: NUR']
GHB,Nuuk Geophysical Observatory,Godthap Vector Magnetic Field 1.0 min Data Geophysical Observatory,"['Godthap Vector Magnetic Field 1.0 min Data Geophysical Observatory', 'Observatory Station Code: GHB']"
Ny Alesund Geophysical Observatory,Ny Alesund Geophysical Observatory,Observatory Station Code: NAL,['Observatory Station Code: NAL']
NAL,Nyalesund,Observatory Station Code: NAL,['Observatory Station Code: NAL']
Oasis,Oasis,Observatory Station Code: OAS,['Observatory Station Code: OAS']
Ottawa Geophysical Observatory,Ottawa Geophysical Observatory,Observatory Station Code: OTT,['Observatory Station Code: OTT']
Oulujarvi Geophysical Observatory,Oulujarvi Geophysical Observatory,Observatory Station Code: OUJ,['Observatory Station Code: OUJ']
FHB,Paamiut Geophysical Observatory,Frederikshap Vector Magnetic Field 1.0 min Data Geophysical Observatory,"['Observatory Station Code: FHB', 'Frederikshap Vector Magnetic Field 1.0 min Data Geophysical Observatory']"
Pamatai,Pamatai,Observatory Station Code: PPT,"['Papeete', 'Observatory Station Code: PPT']"
Panagjurishte,Panagjurishte,Observatory Station Code: PAG,['Observatory Station Code: PAG']
PANG,Pangnirtung Geophysical Observatory,Observatory Station Code: PANG,['Observatory Station Code: PANG']
Paramaribo,Paramaribo,Observatory Station Code: PAB,['Observatory Station Code: PAB']
Paratunka,Paratunka,Observatory Station Code: PET,"['Petropavlovsk', 'Observatory Station Code: PET']"
Parc St Maur,Parc St Maur,Observatory Station Code: PSM,['Observatory Station Code: PSM']
PKS,Park Site Geophysical Observatory,Observatory Station Code: PKS,['Observatory Station Code: PKS']
Patrony,Patrony,Observatory Station Code: IRT,['Observatory Station Code: IRT']
Pedeli,Pedeli,Observatory Station Code: PEG,"['Penteli', 'Observatory Station Code: PEG']"
PEL,Pello Geophysical Observatory,Observatory Station Code: PEL,['Observatory Station Code: PEL']
Pelly Bay Geophysical Observatory,Pelly Bay Geophysical Observatory,Observatory Station Code: PEB,['Observatory Station Code: PEB']
PENGUIn,PENGUIn,Polar Experimental Network for Geospace Upper atmosphere Investigations,['Polar Experimental Network for Geospace Upper atmosphere Investigations']
PG0,PENGUIn-0 Geophysical Observatory,Observatory Station Code: PG0,['Observatory Station Code: PG0']
PG1,PENGUIn-1 Geophysical Observatory,Observatory Station Code: PG1,['Observatory Station Code: PG1']
PG2,PENGUIn-2 Geophysical Observatory,Observatory Station Code: PG2,['Observatory Station Code: PG2']
PG3,PENGUIn-3 Geophysical Observatory,Observatory Station Code: PG3,['Observatory Station Code: PG3']
PG4,PENGUIn-4 Geophysical Observatory,Observatory Station Code: PG4,['Observatory Station Code: PG4']
PG5,PENGUIn-5 Geophysical Observatory,Observatory Station Code: PG5,['Observatory Station Code: PG5']
PTRS,Petersburg Geophysical Observatory,Observatory Station Code: PTRS,['Observatory Station Code: PTRS']
PBK,Pevek Geophysical Observatory,Observatory Station Code: PBK,['Observatory Station Code: PBK']
Phuthuy,Phuthuy,Observatory Station Code: PHU,['Observatory Station Code: PHU']
Pilar,Pilar,Observatory Station Code: PIL,['Observatory Station Code: PIL']
PINA,Pinawa Geophysical Observatory,Observatory Station Code: PINA,['Observatory Station Code: PINA']
PINE,Pine Ridge Geophysical Observatory,Observatory Station Code: PINE,['Observatory Station Code: PINE']
Pionerskaya,Pionerskaya,Observatory Station Code: PIO,['Observatory Station Code: PIO']
Plateau,Plateau,Observatory Station Code: PTU,['Observatory Station Code: PTU']
Pleshenitzi,Pleshenitzi,Observatory Station Code: MNK,"['Minsk', 'Observatory Station Code: MNK']"
Podkamennaya Tunguska,Podkamennaya Tunguska,Observatory Station Code: POD,['Observatory Station Code: POD']
Poker Flat Geophysical Observatory,Poker Flat Geophysical Observatory,Observatory Station Code: POKR,['Observatory Station Code: POKR']
Pondicherry,Pondicherry,Observatory Station Code: PND,['Observatory Station Code: PND']
Port Alfred,Port Alfred,Observatory Station Code: CZT,['Observatory Station Code: CZT']
Port aux Francais,Port-aux-Francais,Observatory Station Code: PAF,['Observatory Station Code: PAF']
Port Stanley,Port Stanley,Observatory Station Code: PST,['Observatory Station Code: PST']
Poste de la Baleine,Poste-de-la-Baleine,Observatory Station Code: PBQ,['Observatory Station Code: PBQ']
Price,Price,Observatory Station Code: PCU,['Observatory Station Code: PCU']
ROTH,Priddis Geophysical Observatory,Observatory Station Code: ROTH,['Observatory Station Code: ROTH']
PGEO,Prince George Geophysical Observatory,Observatory Station Code: PGEO,['Observatory Station Code: PGEO']
Pruhonice,Pruhonice,Observatory Station Code: PRU,['Observatory Station Code: PRU']
PBLO,Pueblo Geophysical Observatory,Observatory Station Code: PBLO,['Observatory Station Code: PBLO']
PCEL,Purcell Geophysical Observatory,Observatory Station Code: PCEL,['Observatory Station Code: PCEL']
PUVR,Puvirnituq Geophysical Observatory,Observatory Station Code: PUVR,['Observatory Station Code: PUVR']
THL,Qaanaaq Geophysical Observatory,Observatory Station Code: THL,"['Observatory Station Code: THL', 'Thule Geophysical Observatory']"
GDH,Qeqertarsuaq Geophysical Observatory,Godhavn Geophysical Observatory,"['Observatory Station Code: GDH', 'Godhavn Geophysical Observatory']"
Qianling,Qianling,Observatory Station Code: QIX,['Observatory Station Code: QIX']
Qiongzhong,Qiongzhong,Observatory Station Code: QGZ,['Observatory Station Code: QGZ']
Qsaybeh,Qsaybeh,Observatory Station Code: QSB,['Observatory Station Code: QSB']
Quanzhou,Quanzhou,Observatory Station Code: QZH,['Observatory Station Code: QZH']
Quetta,Quetta,Observatory Station Code: QUE,['Observatory Station Code: QUE']
RADI,Radisson Geophysical Observatory,Radisson Geophysical Observatory,['']
RAM,Russian Arctic and Antarctic Magnetometer network,RAM,['RAM']
Rankin Inlet Geophysical Observatory,Rankin Inlet Geophysical Observatory,Observatory Station Code: RANK,['Observatory Station Code: RANK']
RAN,Ranua Geophysical Observatory,Observatory Station Code: RAN,['Observatory Station Code: RAN']
REDR,Red Deer Geophysical Observatory,Observatory Station Code: REDR,['Observatory Station Code: REDR']
RMUS,Remus Geophysical Observatory,Observatory Station Code: RMUS,['Observatory Station Code: RMUS']
RBAY,Repulse Bay Geophysical Observatory,Observatory Station Code: RBAY,['Observatory Station Code: RBAY']
Resolute Bay,Resolute Bay,Observatory Station Code: RES,['Observatory Station Code: RES']
RICH,Richardson Geophysical Observatory,Observatory Station Code: RICH,['Observatory Station Code: RICH']
Roburent,Roburent,Observatory Station Code: ROB,['Observatory Station Code: ROB']
ROE,Roemoe,Observatory Station Code: ROE,['Observatory Station Code: ROE']
Roi Baudouin,Roi Baudouin 2,Observatory Station Code: RBD,['Observatory Station Code: RBD']
Romo Geophysical Observatory,Romo Geophysical Observatory,Romo Geophysical Observatory,['']
RVK,Rorvik Geophysical Observatory,Observatory Station Code: RVK,['Observatory Station Code: RVK']
Rude Skov,Rude Skov,Observatory Station Code: RSV,['Observatory Station Code: RSV']
Sabhawala,Sabhawala,Observatory Station Code: SAB,['Observatory Station Code: SAB']
Sable Island,Sable Island,Observatory Station Code: SBL,['Observatory Station Code: SBL']
Southern Auroral Electrojet Index,Southern Auroral Electrojet Index,Southern Auroral Electrojet Index,['']
STFL,Saint-Felicien Geophysical Observatory,Observatory Station Code: STFL,['Observatory Station Code: STFL']
Saint Johns,Saint Johns,Observatory Station Code: STJ,['Observatory Station Code: STJ']
SALU,Salluit Geophysical Observatory,Observatory Station Code: SALU,['Observatory Station Code: SALU']
SAMBA Ground Observatory Group,SAMBA Ground Observatory Group,Chain of ground stations in the SAMBA Array.,"['Chain of ground stations in the SAMBA Array.', 'SAMBA Ground Observatory Group']"
Antofagasta,Antofagasta,Antofagasta,['']
Escudero,Escudero,Escudero,['']
La Serena,La Serena,La Serena,['']
Los Cerrillos,Los Cerrillos,Los Cerrillos,['']
O'Higgins,O'Higgins,O'Higgins,['']
Osorno,Osorno,Osorno,['']
Puerto Natales,Puerto Natales,Puerto Natales,['']
Punta Arenas,Punta Arenas,Punta Arenas,['']
Putre,Putre,Putre,['']
Valdivia,Valdivia,Valdivia,['']
SATX,San Antonio Geophysical Observatory,Observatory Station Code: SATX,['Observatory Station Code: SATX']
San Fernando,San Fernando,Observatory Station Code: SFS,['Observatory Station Code: SFS']
San Juan Geophysical Observatory,San Juan Geophysical Observatory,Observatory Station Code: SJG,['Observatory Station Code: SJG']
San Pablo Toledo,San Pablo-Toledo,Observatory Station Code: SPT,['Observatory Station Code: SPT']
Sanae III,Sanae III,Observatory Station Code: SNA,['Observatory Station Code: SNA']
SNKQ,Sanikiluaq Geophysical Observatory,Observatory Station Code: SNKQ,['Observatory Station Code: SNKQ']
Sao Miguel,Sao Miguel,Observatory Station Code: SMG,['Observatory Station Code: SMG']
SVS,Savissivik Geophysical Observatory,Observatory Station Code: SVS,['Observatory Station Code: SVS']
SCHF,Schefferville Geophysical Observatory,Observatory Station Code: SCHF,['Observatory Station Code: SCHF']
Scoresby Sund,Scoresby Sund 2,Observatory Station Code: SCO,['Observatory Station Code: SCO']
SEPT,Sept Iles Geophysical Observatory,Observatory Station Code: SEPT,['Observatory Station Code: SEPT']
SWNO,Shawano Geophysical Observatory,Observatory Station Code: SWNO,['Observatory Station Code: SWNO']
Sheshan,Sheshan,Observatory Station Code: SSH,"['Zo-Se', 'Observatory Station Code: SSH']"
Shillong,Shillong,Observatory Station Code: SHL,['Observatory Station Code: SHL']
Shumagin Geophysical Observatory,Shumagin Geophysical Observatory,Observatory Station Code: SHU,['Observatory Station Code: SHU']
Silchar,Silchar,Observatory Station Code: SIL,['Observatory Station Code: SIL']
Simosato,Simosato,Observatory Station Code: SSO,['Observatory Station Code: SSO']
Sitka Geophysical Observatory,Sitka Geophysical Observatory,Observatory Station Code: SIT,['Observatory Station Code: SIT']
SNAP,Snap Lake Geophysical Observatory,Observatory Station Code: SNAP,['Observatory Station Code: SNAP']
Sodankyla,Sodankyla,Observatory Station Code: SOD,['Observatory Station Code: SOD']
SOL,Solund Geophysical Observatory,Observatory Station Code: SOL,['Observatory Station Code: SOL']
SOR,Soroya Geophysical Observatory,Observatory Station Code: SOR,['Observatory Station Code: SOR']
South Georgia,South Georgia,Observatory Station Code: SGE,"['Grytviken', 'Observatory Station Code: SGE']"
South Pole,South Pole,Observatory Station Code: SPA,['Observatory Station Code: SPA']
St. John Geophysical Observatory,St. John Geophysical Observatory,Observatory Station Code: STJ,['Observatory Station Code: STJ']
STFD,Stanford Geophysical Observatory,Observatory Station Code: STFD,['Observatory Station Code: STFD']
Stekolnyy,Stekolnyy,Observatory Station Code: MGD,"['Magadan', 'Observatory Station Code: MGD']"
Stennis Space Centre,Stennis Space Centre,Observatory Station Code: BSL,"['Bay St. Louis', 'Observatory Station Code: BSL']"
STEP,STEP Observatory Group,Solar Terrestrial Energy Program,"['Solar-Terrestrial Energy Program, STEP, Polar Network', 'UAPM', 'Upper Atmospheric Monitoring Program']"
Stepanovka,Stepanovka,Observatory Station Code: ODE,['Observatory Station Code: ODE']
Stonyhurst,Stonyhurst,Observatory Station Code: STO,['Observatory Station Code: STO']
Sukkertoppen,Sukkertoppen,Observatory Station Code: SKT,['Observatory Station Code: SKT']
SUM,Summit Geophysical Observatory,Observatory Station Code: SUM,['Observatory Station Code: SUM']
Surlari,Surlari,Observatory Station Code: SUA,['Observatory Station Code: SUA']
Swider,Swider,Observatory Station Code: SWI,['Observatory Station Code: SWI']
Tahiti,Tahiti,Observatory Station Code: TAH,['Observatory Station Code: TAH']
Talara,Talara,Observatory Station Code: TAL,['Observatory Station Code: TAL']
Tamanrasset,Tamanrasset,Observatory Station Code: TAM,['Observatory Station Code: TAM']
Tangerang,Tangerang,Observatory Station Code: TNG,['Observatory Station Code: TNG']
TAR,Tartu Geophysical Observatory,Observatory Station Code: TAR,['Observatory Station Code: TAR']
Tasiilaq Geophysical Observatory,Tasiilaq Geophysical Observatory,Tasiilaq Geophysical Observatory,['']
Tatuoca,Tatuoca,Observatory Station Code: TTB,['Observatory Station Code: TTB']
Tehran,Tehran,Observatory Station Code: TEH,['Observatory Station Code: TEH']
TEIDE Observatory,TEIDE Observatory,TEIDE Observatory,['']
Teoloyucan,Teoloyucan,Observatory Station Code: TEO,['Observatory Station Code: TEO']
Tromso Geophysical Observatory,Tromso Geophysical Observatory,TGO,['TGO']
TPAS,The Pas,Observatory Station Code: TPAS,"['Flin Flon', 'Observatory Station Code: TPAS']"
TAB,Thule Air Base Geophysical Observatory,Observatory Station Code: TAB,['Observatory Station Code: TAB']
Tihany,Tihany,Observatory Station Code: THY,['Observatory Station Code: THY']
Tikhaya Bay,Tikhaya Bay,Observatory Station Code: TKH,['Observatory Station Code: TKH']
TIK,Tiksi Geophysical Observatory,Observatory Station Code: TIK,['Observatory Station Code: TIK']
Tirunelveli,Tirunelveli,Observatory Station Code: TIR,['Observatory Station Code: TIR']
Tokyo,Tokyo,Observatory Station Code: TOK,['Observatory Station Code: TOK']
Toledo,Toledo,Observatory Station Code: TOL,['Observatory Station Code: TOL']
Tomsk,Tomsk,Observatory Station Code: TMK,['Observatory Station Code: TMK']
Tondano,Tondano,Observatory Station Code: TND,['Observatory Station Code: TND']
Tonghai,Tonghai,Observatory Station Code: THJ,['Observatory Station Code: THJ']
Toolangi,Toolangi,Observatory Station Code: TOO,['Observatory Station Code: TOO']
TOOL,Toolik Lake Geophysical Observatory,Toolik Lake Geophysical Observatory,['']
TRAP,Trapper Creek Geophysical Observatory,Trapper Creek Geophysical Observatory,['']
Trelew,Trelew,Observatory Station Code: TRW,['Observatory Station Code: TRW']
TDC,Tristan Da Cunha Geophysical Observatory,Observatory Station Code: TDC,['Observatory Station Code: TDC']
Trivandrum,Trivandrum 2,Observatory Station Code: TRD,['Observatory Station Code: TRD']
TRO,Tromso Geophysical Observatory,Tromso Geophysical Observatory,['Observatory Station Code: TRO']
Tsumeb,Tsumeb,Observatory Station Code: TSU,['Observatory Station Code: TSU']
Tucson Geophysical Observatory,Tucson Geophysical Observatory,Observatory Station Code: TUC,['Observatory Station Code: TUC']
Tuntungan,Tuntungan,Observatory Station Code: TUN,['Observatory Station Code: TUN']
UAPM Observatory Group,UAPM Observatory Group,"Solar-Terrestrial Energy Program, STEP, Polar Network","['Upper Atmospheric Monitoring Program', 'STEP', 'Solar-Terrestrial Energy Program, STEP, Polar Network']"
Udaipur,Udaipur,Udaipur,['']
Ujjain,Ujjain,Observatory Station Code: UJJ,['Observatory Station Code: UJJ']
UKIA,Ukiah Geophysical Observatory,Observatory Station Code: UKIA,['Observatory Station Code: UKIA']
Ulan Bator,Ulan Bator,Observatory Station Code: UBA,['Observatory Station Code: UBA']
UPN,Upernavik Geophysical Observatory,Upernavik Geophysical Observatory,['']
Uppsala,Uppsala,Observatory Station Code: UPS,"['Fiby', 'Observatory Station Code: UPS']"
United State Geological Survey,United State Geological Survey,USGA,['USGA']
UPS,Uummannaq Geophysical Observatory,Observatory Station Code: UPS,['Observatory Station Code: UPS']
VLDR,Val-d'Or Geophysical Observatory,Observatory Station Code: VLDR,['Observatory Station Code: VLDR']
Val Joyeux,Val Joyeux,Observatory Station Code: VLJ,['Observatory Station Code: VLJ']
Valentia,Valentia,Observatory Station Code: VAL,['Observatory Station Code: VAL']
Vassouras,Vassouras,Observatory Station Code: VSS,['Observatory Station Code: VSS']
Victoria Geophysical Observatory,Victoria Geophysical Observatory,Observatory Station Code: VIC,['Observatory Station Code: VIC']
Vieques,Vieques,Observatory Station Code: VQS,['Observatory Station Code: VQS']
Visakhapatnam,Visakhapatnam,Observatory Station Code: VSK,['Observatory Station Code: VSK']
VIZ,Vize Island Geophysical Observatory,Observatory Station Code: VIZ,['Observatory Station Code: VIZ']
Voeikovo,Voeikovo,Observatory Station Code: LNN,"['Leningrad', 'Observatory Station Code: LNN']"
Vostok,Vostok,Observatory Station Code: VOS,['Observatory Station Code: VOS']
Vysokaya Dubrava,Vysokaya Dubrava,Observatory Station Code: SVD,['Observatory Station Code: SVD']
