HelioData_long_name,SPASE_AlternateName
Solar Orbiter,['Solar Orbiter']
AeroCube-6 CubeSat,['AeroCube-6 CubeSat']
AeroCube-6A CubeSat,['AeroCube-6A CubeSat']
AeroCube-6B CubeSat,['AeroCube-6B CubeSat']
Polarimeter to Unify the Corona and Heliosphere,['Polarimeter to Unify the Corona and Heliosphere']
Polarimeter to Unify the Corona and Heliosphere Narrow Field Imager,['Polarimeter to Unify the Corona and Heliosphere Narrow Field Imager']
Polarimeter to Unify the Corona and Heliosphere Wide Field Imager,['Polarimeter to Unify the Corona and Heliosphere Wide Field Imager']
Polarimeter to Unify the Corona and Heliosphere Wide-Field Imager 1,['Polarimeter to Unify the Corona and Heliosphere Wide-Field Imager 1']
Polarimeter to Unify the Corona and Heliosphere Wide-Field Imager 2,['Polarimeter to Unify the Corona and Heliosphere Wide-Field Imager 2']
Polarimeter to Unify the Corona and Heliosphere Wide-Field Imager 3,['Polarimeter to Unify the Corona and Heliosphere Wide-Field Imager 3']
Geostationary Operational Environmental Satellite 18,"['Geostationary Operational Environmental Satellite 18', '2022-021A', 'GOES T']"
Geostationary Operational Environmental Satellite 19,"['Geostationary Operational Environmental Satellite 19', '2024-119A', 'GOES U']"
"GO-ABOVE the Geospace Observatory - Array for
   Broadband Observations of VLF/ELF Emissions",['GO-ABOVE the Geospace Observatory - Array for\n   Broadband Observations of VLF/ELF Emissions']
Advanced Composition Explorer,"['Advanced Composition Explorer', '1997-045A', 'Explorer 71']"
Atmosphere Explorer,"['Atmosphere Explorer', 'Atmosphere Explorer Spacecraft']"
Atmosphere Explorer-C,"['Atmosphere Explorer-C', '1973-101A', 'Explorer 51']"
Atmosphere Explorer-D,"['Atmosphere Explorer-D', '1975-096A', 'Explorer 54']"
Atmosphere Explorer-E,"['Atmosphere Explorer-E', '1975-107A', 'Explorer 55', 'AE 5']"
Aeolus,['Aeolus']
Aeros-A,"['Aeros-A', '1972-100A', 'Aeros 1']"
AIM,['AIM']
EXOS-D,['EXOS-D']
Alouette-A,"['Alouette-A', '1962-049A']"
Alouette-B,"['Alouette-B', '1965-098A']"
Advanced Modular Incoherent Scatter Radar (AMISR),['Advanced Modular Incoherent Scatter Radar (AMISR)']
AMPERE,['AMPERE']
Active Magnetospheric Particle Tracer Explorers,['Active Magnetospheric Particle Tracer Explorers']
AMPTE/Charge Composition Explorer,"['AMPTE/Charge Composition Explorer', 'CCE', 'Explorer 65']"
AMPTE/Ion Release Module,"['AMPTE/Ion Release Module', 'IRM']"
AMPTE/United Kingdom Subsatellite,"['AMPTE/United Kingdom Subsatellite', 'UKS']"
Apollo 12 LM/ALSEP,"['Apollo 12 LM/ALSEP', 'Intrepid', 'Apollo 12C', 'LEM 12', 'LM-6']"
Apollo 14 LM/ALSEP,"['Apollo 14 LM/ALSEP', 'Antares', 'Apollo 14C', 'LEM 14', 'LM-8']"
