ResourceID,hcut_id,short_name,long_name
spase://SMWG/Observatory/Ground/CARISMA,Ground_CARISMA,CARISMA,Canadian Auroral Network for the OPEN (Origins of Plasmas in Earth°s Neighborhood) Program Unified Study
spase://SMWG/Observatory/Ground/Carrollton,Ground_Carrollton,Carrollton,Observatory Station Code: CAX
spase://SMWG/Observatory/Ground/Carson.City,Ground_Carson.City,CCNV,Carson City Geophysical Observatory
spase://SMWG/Observatory/Ground/Castellaccio,Ground_Castellaccio,Castellaccio,Observatory Station Code: CAO
spase://SMWG/Observatory/Ground/Centro.Geofisico,Ground_Centro.Geofisico,Centro Geofisico,Observatory Station Code: HVN
spase://SMWG/Observatory/Ground/Cha.Pa,Ground_Cha.Pa,Cha Pa,Observatory Station Code: CPA
spase://SMWG/Observatory/Ground/Chambon.la.Foret,Ground_Chambon.la.Foret,Chambon la Foret,Observatory Station Code: CLF
spase://SMWG/Observatory/Ground/Changchun,Ground_Changchun,Changchun,Observatory Station Code: CNH
spase://SMWG/Observatory/Ground/Charcot,Ground_Charcot,Charcot,Observatory Station Code: CTX
spase://SMWG/Observatory/Ground/Charters.Towers,Ground_Charters.Towers,Charters Towers,Observatory Station Code: CTA
spase://SMWG/Observatory/Ground/Cheltenham,Ground_Cheltenham,Cheltenham,Observatory Station Code: CLH
spase://SMWG/Observatory/Ground/Chengdu,Ground_Chengdu,Chengdu,Observatory Station Code: CDP
spase://SMWG/Observatory/Ground/Chibougamau,Ground_Chibougamau,CHBG,Chibougamau Geophysical Observatory
spase://SMWG/Observatory/Ground/Chibougaou,Ground_Chibougaou,Chibougaou,Observatory Station Code: CHBG
spase://SMWG/Observatory/Ground/Chichijima,Ground_Chichijima,Chichijima,Observatory Station Code: CBI
spase://SMWG/Observatory/Ground/Clyde.River,Ground_Clyde.River,CRVR,Clyde River Geophysical Observatory
spase://SMWG/Observatory/Ground/Coimbra,Ground_Coimbra,Coimbra,Observatory Station Code: COI
spase://SMWG/Observatory/Ground/College,Ground_College,College Geophysical Observatory,College Geophysical Observatory
spase://SMWG/Observatory/Ground/Colville.National.Forest,Ground_Colville.National.Forest,Colville National Forest Geophysical Observatory,Colville National Forest Geophysical Observatory
spase://SMWG/Observatory/Ground/Coral.Harbour,Ground_Coral.Harbour,CHBR,Observatory Station Code: CHBR
spase://SMWG/Observatory/Ground/CTIO,Ground_CTIO,CTIO,CTIO
spase://SMWG/Observatory/Ground/Dallas,Ground_Dallas,Dallas,Observatory Station Code: DAL
spase://SMWG/Observatory/Ground/Daneborg,Ground_Daneborg,DNB,Daneborg Geophysical Observatory
spase://SMWG/Observatory/Ground/Danmarkshavn,Ground_Danmarkshavn,DMH,Danmarkshavn Geophysical Observatory
spase://SMWG/Observatory/Ground/Davao,Ground_Davao,Davao,Observatory Station Code: DAV
spase://SMWG/Observatory/Ground/De.Bilt,Ground_De.Bilt,De Bilt,Observatory Station Code: DBN
spase://SMWG/Observatory/Ground/Dead.Horse,Ground_Dead.Horse,DED,Dead Horse Geophysical Observatory
spase://SMWG/Observatory/Ground/Dededo,Ground_Dededo,GUA,Dededo Geophysical Observatory
spase://SMWG/Observatory/Ground/Del.Rio,Ground_Del.Rio,Del Rio,Observatory Station Code: DLR
spase://SMWG/Observatory/Ground/Derby,Ground_Derby,DRBY,Derby Geophysical Observatory
spase://SMWG/Observatory/Ground/Dikson,Ground_Dikson,Dikson Geophysical Observatory,Dikson Geophysical Observatory
spase://SMWG/Observatory/Ground/Dombas,Ground_Dombas,Dombas Geophysical Observatory,Dombas Geophysical Observatory
spase://SMWG/Observatory/Ground/Dome.Concordia,Ground_Dome.Concordia,Dome Concordia,Observatory Station Code: DMC
spase://SMWG/Observatory/Ground/Donna,Ground_Donna,Donna Geophysical Observatory,Donna Geophysical Observatory
spase://SMWG/Observatory/Ground/Dourbes,Ground_Dourbes,Dourbes,Observatory Station Code: DOU
spase://SMWG/Observatory/Ground/DTU,Ground_DTU,Technical University of Danmark,DTU
spase://SMWG/Observatory/Ground/Dumont.d.Urville,Ground_Dumont.d.Urville,Dumont d'Urville,Observatory Station Code: DRV
spase://SMWG/Observatory/Ground/Dusheti,Ground_Dusheti,Dusheti,Observatory Station Code: TFS
spase://SMWG/Observatory/Ground/Dymer,Ground_Dymer,Dymer,Observatory Station Code: KIV
spase://SMWG/Observatory/Ground/Eagle,Ground_Eagle,EAGL,Eagle Geophysical Observatory
spase://SMWG/Observatory/Ground/Easter.Island,Ground_Easter.Island,Easter Island,Observatory Station Code: EIC
spase://SMWG/Observatory/Ground/Ebro,Ground_Ebro,Ebro,Observatory Station Code: EBR
spase://SMWG/Observatory/Ground/Eights,Ground_Eights,Eights,Observatory Station Code: EGS
spase://SMWG/Observatory/Ground/Eilat,Ground_Eilat,Eilat,Observatory Station Code: ELT
spase://SMWG/Observatory/Ground/Ekaterinburg,Ground_Ekaterinburg,Ekaterinburg,Observatory Station Code: EKT
spase://SMWG/Observatory/Ground/Ekati,Ground_Ekati,EKAT,Observatory Station Code: EKAT
spase://SMWG/Observatory/Ground/Esashi,Ground_Esashi,Esashi,Observatory Station Code: ESA
spase://SMWG/Observatory/Ground/Eskdalemuir,Ground_Eskdalemuir,Eskdalemuir,Observatory Station Code: ESK
spase://SMWG/Observatory/Ground/Etaiyapuram,Ground_Etaiyapuram,Etaiyapuram,Observatory Station Code: ETT
spase://SMWG/Observatory/Ground/Eyrewell,Ground_Eyrewell,Eyrewell,Observatory Station Code: EYR
spase://SMWG/Observatory/Ground/Fanning,Ground_Fanning,Fanning,Observatory Station Code: FAN
spase://SMWG/Observatory/Ground/Faraday.Islands,Ground_Faraday.Islands,Faraday Islands,Observatory Station Code: AIA
spase://SMWG/Observatory/Ground/Flin.Flon,Ground_Flin.Flon,Flin Flon Geophysical Observatory,Flin Flon Vector Magnetic Field 0.5 s Data Geophysical Observatory
spase://SMWG/Observatory/Ground/Fort.Churchill,Ground_Fort.Churchill,Fort Churchill Geophysical Observatory,Observatory Station Code: FCC
spase://SMWG/Observatory/Ground/Fort.Churchill.2,Ground_Fort.Churchill.2,Fort Churchill Geophysical Observatory,Observatory Station Code: FCHU
spase://SMWG/Observatory/Ground/Fort.Nelson,Ground_Fort.Nelson,FTN,Observatory Station Code: FTN
spase://SMWG/Observatory/Ground/Fort.Rae.2,Ground_Fort.Rae.2,Fort Rae,Observatory Station Code: FRA
spase://SMWG/Observatory/Ground/Fort.Simpson,Ground_Fort.Simpson,Fort Simpson Geophysical Observatory,Observatory Station Code: FSIM
spase://SMWG/Observatory/Ground/Fort.Smith,Ground_Fort.Smith,Fort Smith Geophysical Observatory,Observatory Station Code: FSMI
spase://SMWG/Observatory/Ground/Fort.St.John,Ground_Fort.St.John,FSJ,Observatory Station Code: FSJ
spase://SMWG/Observatory/Ground/Fort.Yates,Ground_Fort.Yates,FYTS,Observatory Station Code: FYTS
spase://SMWG/Observatory/Ground/Fort.Yukon,Ground_Fort.Yukon,Fort Yukon Geophysical Observatory,Observatory Station Code: FYKN
spase://SMWG/Observatory/Ground/Fredericksburg,Ground_Fredericksburg,Fredericksburg Geophysical Observatory,Observatory Station Code: FRD
spase://SMWG/Observatory/Ground/Freetown.2,Ground_Freetown.2,Freetown,Observatory Station Code: FTN
spase://SMWG/Observatory/Ground/Fresno,Ground_Fresno,Fresno Geophysical Observatory,Observatory Station Code: FRN
spase://SMWG/Observatory/Ground/Fuquene,Ground_Fuquene,Fuquene,Observatory Station Code: FUQ
spase://SMWG/Observatory/Ground/Furstenfeldbruck,Ground_Furstenfeldbruck,Furstenfeldbruck,Observatory Station Code: FUR
spase://SMWG/Observatory/Ground/GA,Ground_GA,Geoscience Australia,GA
spase://SMWG/Observatory/Ground/Gakona,Ground_Gakona,Gakona Geophysical Observatory,Observatory Station Code: GAKO
spase://SMWG/Observatory/Ground/GCRAS,Ground_GCRAS,Geomagnetic Data Center Russia Ukraine,GCRAS
spase://SMWG/Observatory/Ground/GFZ,Ground_GFZ,GeoForschungsZentrum,German Research Centre for Geosciences
spase://SMWG/Observatory/Ground/Gillam,Ground_Gillam,Gillam Geophysical Observatory,Observatory Station Code: GILL
spase://SMWG/Observatory/Ground/GIMA,Ground_GIMA,GIMA,GIMA
spase://SMWG/Observatory/Ground/Gjoa.Haven,Ground_Gjoa.Haven,GJOA,Observatory Station Code: GJOA
spase://SMWG/Observatory/Ground/Glenlea,Ground_Glenlea,Glenlea,Observatory Station Code: GLN
spase://SMWG/Observatory/Ground/Glyndon,Ground_Glyndon,GLYN,Observatory Station Code: GLYN
spase://SMWG/Observatory/Ground/GMAG,Ground_GMAG,GMAG,THEMIS-Associated Ground Magnetometer Stations
spase://SMWG/Observatory/Ground/Gnangara,Ground_Gnangara,Gnangara,Observatory Station Code: GNA
spase://SMWG/Observatory/Ground/Golmud,Ground_Golmud,Golmud,Observatory Station Code: GLM
spase://SMWG/Observatory/Ground/Goose.Bay,Ground_Goose.Bay,GBAY,Observatory Station Code: GBAY
spase://SMWG/Observatory/Ground/Gornotayezhnaya,Ground_Gornotayezhnaya,Gornotayezhnaya,Observatory Station Code: VLA
spase://SMWG/Observatory/Ground/Grahamstown,Ground_Grahamstown,Grahamstown,Observatory Station Code: GRM
spase://SMWG/Observatory/Ground/Great.Whale.River,Ground_Great.Whale.River,Great Whale River,Observatory Station Code: GWC
spase://SMWG/Observatory/Ground/Grocka,Ground_Grocka,Grocka,Observatory Station Code: GCK
spase://SMWG/Observatory/Ground/Guam,Ground_Guam,Guam,Observatory Station Code: GUA
spase://SMWG/Observatory/Ground/Guangzhou,Ground_Guangzhou,Guangzhou,Observatory Station Code: GZH
spase://SMWG/Observatory/Ground/Guimar,Ground_Guimar,Guimar,Observatory Station Code: GUI
spase://SMWG/Observatory/Ground/Halley.Bay,Ground_Halley.Bay,Halley Bay,Observatory Station Code: HBA
spase://SMWG/Observatory/Ground/Hankasalmi,Ground_Hankasalmi,Hankasalmi Geophysical Observatory,Hankasalmi Geophysical Observatory
spase://SMWG/Observatory/Ground/Harris,Ground_Harris,HRIS,Observatory Station Code: HRIS
spase://SMWG/Observatory/Ground/Hartebeesthoek,Ground_Hartebeesthoek,Hartebeesthoek,Observatory Station Code: HBK
spase://SMWG/Observatory/Ground/Hartland,Ground_Hartland,Hartland,Observatory Station Code: HAD
spase://SMWG/Observatory/Ground/Hatizyo,Ground_Hatizyo,Hatizyo,Observatory Station Code: HTY
spase://SMWG/Observatory/Ground/Heiss.Island,Ground_Heiss.Island,Heiss Island,Observatory Station Code: HIS
spase://SMWG/Observatory/Ground/Hel,Ground_Hel,Hel,Observatory Station Code: HLP
spase://SMWG/Observatory/Ground/Helwan,Ground_Helwan,Helwan,Observatory Station Code: HLW
spase://SMWG/Observatory/Ground/Hermanus,Ground_Hermanus,Hermanus,Observatory Station Code: HER
spase://SMWG/Observatory/Ground/Hollandia,Ground_Hollandia,Hollandia,Observatory Station Code: HNA
spase://SMWG/Observatory/Ground/Homer,Ground_Homer,Homer Geophysical Observatory,Observatory Station Code: HOMR
spase://SMWG/Observatory/Ground/Honolulu,Ground_Honolulu,Honolulu Geophysical Observatory,Observatory Station Code: HON
spase://SMWG/Observatory/Ground/Hopen,Ground_Hopen,Hopen Geophysical Observatory,Observatory Station Code: HOP
spase://SMWG/Observatory/Ground/Hornepayne,Ground_Hornepayne,Hornepayne Geophysical Observatory,Observatory Station Code: HRP
spase://SMWG/Observatory/Ground/Hornsund,Ground_Hornsund,Hornsund,Observatory Station Code: HRN
spase://SMWG/Observatory/Ground/Hot.Springs,Ground_Hot.Springs,Hot Springs Geophysical Observatory,Observatory Station Code: HOTS
spase://SMWG/Observatory/Ground/Hov.Faroe.Islands,Ground_Hov.Faroe.Islands,Hov Faroe Islands Geophysical Observatory,Hov Faroe Islands Geophysical Observatory
spase://SMWG/Observatory/Ground/Huancayo,Ground_Huancayo,Huancayo,Observatory Station Code: HUA
spase://SMWG/Observatory/Ground/Hurbanovo,Ground_Hurbanovo,Hurbanovo,Observatory Station Code: HRB
spase://SMWG/Observatory/Ground/Hyderabad,Ground_Hyderabad,Hyderabad,Observatory Station Code: HYB
spase://SMWG/Observatory/Ground/Ibadan,Ground_Ibadan,Ibadan,Observatory Station Code: IBD
spase://SMWG/Observatory/Ground/Igloolik,Ground_Igloolik,IGLO,Observatory Station Code: IGLO
spase://SMWG/Observatory/Ground/IIG,Ground_IIG,Indian Institute of Geomagnetism,IIG
spase://SMWG/Observatory/Ground/IMAGE,Ground_IMAGE,International Monitor for Auroral Geomagnetic Effects,IMAGE
spase://SMWG/Observatory/Ground/INTERMAGNET,Ground_INTERMAGNET,INTERMAGNET,International Real-time Magnetic Observatory Network
spase://SMWG/Observatory/Ground/Inukjuak,Ground_Inukjuak,INUK,Observatory Station Code: INUK
spase://SMWG/Observatory/Ground/Inuvik,Ground_Inuvik,Inuvik Geophysical Observatory,Observatory Station Code: INUV
spase://SMWG/Observatory/Ground/Iqaluit,Ground_Iqaluit,Iqaluit Geophysical Observatory,Observatory Station Code: IQA
spase://SMWG/Observatory/Ground/Istanbul.Kandilli,Ground_Istanbul.Kandilli,Istanbul Kandilli,Observatory Station Code: ISK
spase://SMWG/Observatory/Ground/Ittoqqortoormiit,Ground_Ittoqqortoormiit,SCO,Observatory Station Code: SCO
spase://SMWG/Observatory/Ground/Ivalo,Ground_Ivalo,Ivalo Geophysical Observatory,Observatory Station Code: IVA
spase://SMWG/Observatory/Ground/Iznik,Ground_Iznik,Iznik,Observatory Station Code: IZN
spase://SMWG/Observatory/Ground/Jackvik,Ground_Jackvik,JCK,Observatory Station Code: JCK
spase://SMWG/Observatory/Ground/Jaipur,Ground_Jaipur,Jaipur,Observatory Station Code: JAI
spase://SMWG/Observatory/Ground/Jan.Mayen,Ground_Jan.Mayen,Jan Mayen Geophysical Observatory,Observatory Station Code: JAN
spase://SMWG/Observatory/Ground/Jarvis.Island,Ground_Jarvis.Island,Jarvis Island,Observatory Station Code: JRV
spase://SMWG/Observatory/Ground/Jim.Carrigan.Observatory,Ground_Jim.Carrigan.Observatory,Jim Carrigan Observatory,Observatory Station Code: JCO
spase://SMWG/Observatory/Ground/Kakadu,Ground_Kakadu,Kakadu,Observatory Station Code: KDU
spase://SMWG/Observatory/Ground/Kakioka,Ground_Kakioka,Kakioka,Observatory Station Code: KAK
spase://SMWG/Observatory/Ground/Kaktovik,Ground_Kaktovik,KAKO,Observatory Station Code: KAKO
spase://SMWG/Observatory/Ground/Kangerlussuaq,Ground_Kangerlussuaq,STF,Observatory Station Code: STF
spase://SMWG/Observatory/Ground/Kanoya,Ground_Kanoya,Kanoya,Observatory Station Code: KNY
spase://SMWG/Observatory/Ground/Kanozan,Ground_Kanozan,Kanozan,Observatory Station Code: KNZ
spase://SMWG/Observatory/Ground/Kapuskasing,Ground_Kapuskasing,KAPU,Observatory Station Code: KAPU
spase://SMWG/Observatory/Ground/Karachi,Ground_Karachi,Karachi,Observatory Station Code: KRC
spase://SMWG/Observatory/Ground/Karmoy,Ground_Karmoy,KAR,Karmoy Geophysical Observatory
spase://SMWG/Observatory/Ground/Kashi,Ground_Kashi,Kashi,Observatory Station Code: KSH
spase://SMWG/Observatory/Ground/Keetmanshoop,Ground_Keetmanshoop,Keetmanshoop,Observatory Station Code: KMH
spase://SMWG/Observatory/Ground/Kenai,Ground_Kenai,KENA,Observatory Station Code: KENA
spase://SMWG/Observatory/Ground/Kevo,Ground_Kevo,KEV,Observatory Station Code: KEV
spase://SMWG/Observatory/Ground/Kiana,Ground_Kiana,KIAN,Observatory Station Code: KIAN
spase://SMWG/Observatory/Ground/Kilpisjarvi,Ground_Kilpisjarvi,KIL,Observatory Station Code: KIL
spase://SMWG/Observatory/Ground/Kiruna,Ground_Kiruna,Kiruna,Observatory Station Code: KIR
spase://SMWG/Observatory/Ground/Kodaikanal,Ground_Kodaikanal,Kodaikanal,Observatory Station Code: KOD
spase://SMWG/Observatory/Ground/Kodiak,Ground_Kodiak,KODK,Observatory Station Code: KODK
spase://SMWG/Observatory/Ground/Koror,Ground_Koror,Koror,Observatory Station Code: KOR
spase://SMWG/Observatory/Ground/Kourou,Ground_Kourou,Kourou,Observatory Station Code: KOU
spase://SMWG/Observatory/Ground/Krasnaya.Pakhra,Ground_Krasnaya.Pakhra,Krasnaya Pakhra,Observatory Station Code: MOS
spase://SMWG/Observatory/Ground/Kullorsuaq,Ground_Kullorsuaq,KUV,Observatory Station Code: KUV
spase://SMWG/Observatory/Ground/Kuujjuaq,Ground_Kuujjuaq,KUUJ,Observatory Station Code: KUUJ
spase://SMWG/Observatory/Ground/Kuujjuarapik,Ground_Kuujjuarapik,KJPK,Observatory Station Code: KJPK
spase://SMWG/Observatory/Ground/L.Aquila,Ground_L.Aquila,L'Aquila,Observatory Station Code: AQU
spase://SMWG/Observatory/Ground/La.Paz,Ground_La.Paz,La Paz,Observatory Station Code: LPB
spase://SMWG/Observatory/Ground/La.Quiaca,Ground_La.Quiaca,La Quiaca,Observatory Station Code: LQA
spase://SMWG/Observatory/Ground/La.Ronge,Ground_La.Ronge,LRG,Observatory Station Code: LRG
spase://SMWG/Observatory/Ground/Lanzhou,Ground_Lanzhou,Lanzhou,Observatory Station Code: LZH
spase://SMWG/Observatory/Ground/Las.Mesas,Ground_Las.Mesas,Las Mesas,Observatory Station Code: TEN
spase://SMWG/Observatory/Ground/Laurel,Ground_Laurel,LREL,Observatory Station Code: LREL
spase://SMWG/Observatory/Ground/Leadville,Ground_Leadville,Leadville,Observatory Station Code: LDV
spase://SMWG/Observatory/Ground/Learmonth,Ground_Learmonth,Learmonth,Learmonth
spase://SMWG/Observatory/Ground/Leirvogur,Ground_Leirvogur,Leirvogur Geophysical Observatory,Leirvogur Geophysical Observatory
spase://SMWG/Observatory/Ground/Leningradskaya,Ground_Leningradskaya,Leningradskaya,Observatory Station Code: LEN
spase://SMWG/Observatory/Ground/Lerwick,Ground_Lerwick,Lerwick,Observatory Station Code: LER
spase://SMWG/Observatory/Ground/Lethbridge,Ground_Lethbridge,LETH,Observatory Station Code: LETH
spase://SMWG/Observatory/Ground/Linares,Ground_Linares,LRES,Observatory Station Code: LRES
spase://SMWG/Observatory/Ground/Little.America,Ground_Little.America,Little America,Observatory Station Code: LAA
spase://SMWG/Observatory/Ground/Livingston.Island,Ground_Livingston.Island,Livingston Island,Observatory Station Code: LIV
spase://SMWG/Observatory/Ground/Logrono,Ground_Logrono,Logrono,Observatory Station Code: LGR
spase://SMWG/Observatory/Ground/Longyearbyen,Ground_Longyearbyen,LYR,Observatory Station Code: LYR
spase://SMWG/Observatory/Ground/Loparskaya,Ground_Loparskaya,Loparskaya,Observatory Station Code: MMK
spase://SMWG/Observatory/Ground/Lovo,Ground_Lovo,Lovo,Observatory Station Code: LOV
spase://SMWG/Observatory/Ground/Lovozero,Ground_Lovozero,Lovozero Geophysical Observatory,Observatory Station Code: LOZ
spase://SMWG/Observatory/Ground/Loysburg,Ground_Loysburg,LOYS,Observatory Station Code: LOYS
spase://SMWG/Observatory/Ground/Luanda.Belas,Ground_Luanda.Belas,Luanda Belas,Observatory Station Code: LUA
spase://SMWG/Observatory/Ground/Lucky.Lake,Ground_Lucky.Lake,Lucky Lake Geophysical Observatory,Observatory Station Code: LCL
spase://SMWG/Observatory/Ground/Lunping,Ground_Lunping,Lunping,Observatory Station Code: LNP
spase://SMWG/Observatory/Ground/Lvov,Ground_Lvov,Lvov,Observatory Station Code: LVV
spase://SMWG/Observatory/Ground/Lwiro,Ground_Lwiro,Lwiro,Observatory Station Code: LWI
spase://SMWG/Observatory/Ground/Lycksele,Ground_Lycksele,Lycksele,Observatory Station Code: LYC
spase://SMWG/Observatory/Ground/Lyford,Ground_Lyford,LYFD,Observatory Station Code: LYFD
spase://SMWG/Observatory/Ground/MACCS,Ground_MACCS,MACCS,MACCS
spase://SMWG/Observatory/Ground/Manhay,Ground_Manhay,Manhay,Observatory Station Code: MAB
spase://SMWG/Observatory/Ground/Maniitsoq,Ground_Maniitsoq,SKT,Observatory Station Code: SKT
spase://SMWG/Observatory/Ground/Manzhouli,Ground_Manzhouli,Manzhouli,Observatory Station Code: MZL
spase://SMWG/Observatory/Ground/Maputo,Ground_Maputo,Maputo,Observatory Station Code: LMM
spase://SMWG/Observatory/Ground/Marion.Island,Ground_Marion.Island,Marion Island,Observatory Station Code: MRN
spase://SMWG/Observatory/Ground/Martin.de.Vivies,Ground_Martin.de.Vivies,Martin de Vivies,Observatory Station Code: AMS
spase://SMWG/Observatory/Ground/Masi,Ground_Masi,MAS,Observatory Station Code: MAS
spase://SMWG/Observatory/Ground/MaunaLoaSO,Ground_MaunaLoaSO,MLSO,Mauna Loa Solar Observatory
spase://SMWG/Observatory/Ground/MBour,Ground_MBour,MBour,Observatory Station Code: MBO
spase://SMWG/Observatory/Ground/McGrath,Ground_McGrath,MCGR,Observatory Station Code: MCGR
spase://SMWG/Observatory/Ground/McMAC,Ground_McMAC,McMAC,"Mid-continent Magnetoseismic Chain, McMAC, Observatory Chain"
spase://SMWG/Observatory/Ground/Meanook,Ground_Meanook,Meanook Geophysical Observatory,Observatory Station Code: MEA
spase://SMWG/Observatory/Ground/Mekrijarvi,Ground_Mekrijarvi,MEK,Observatory Station Code: MEK
spase://SMWG/Observatory/Ground/Memambetsu,Ground_Memambetsu,Memambetsu,Observatory Station Code: MMB
spase://SMWG/Observatory/Ground/Midway,Ground_Midway,Midway,Observatory Station Code: MID
spase://SMWG/Observatory/Ground/Mirny,Ground_Mirny,Mirny,Observatory Station Code: MIR
spase://SMWG/Observatory/Ground/Misallat,Ground_Misallat,Misallat,Observatory Station Code: MLT
spase://SMWG/Observatory/Ground/Mizusawa,Ground_Mizusawa,Mizusawa,Observatory Station Code: MIZ
spase://SMWG/Observatory/Ground/Moca,Ground_Moca,Moca,Observatory Station Code: MFP
spase://SMWG/Observatory/Ground/Molodezhnaya,Ground_Molodezhnaya,Molodezhnaya,Observatory Station Code: MOL
spase://SMWG/Observatory/Ground/Monte.Capellino,Ground_Monte.Capellino,Monte Capellino,Observatory Station Code: MCP
spase://SMWG/Observatory/Ground/Mould.Bay,Ground_Mould.Bay,Mould Bay,Observatory Station Code: MBC
spase://SMWG/Observatory/Ground/Muntinlupa,Ground_Muntinlupa,Muntinlupa,Observatory Station Code: MUT
spase://SMWG/Observatory/Ground/Muono,Ground_Muono,MUO,Observatory Station Code: Muo
spase://SMWG/Observatory/Ground/Murchison.Bay,Ground_Murchison.Bay,Murchison Bay,Observatory Station Code: MUB
spase://SMWG/Observatory/Ground/NAE,Ground_NAE,Near Conjugate Northern Auroral Electrojet Index,Near Conjugate Northern Auroral Electrojet Index
spase://SMWG/Observatory/Ground/Nagpur,Ground_Nagpur,Nagpur,Observatory Station Code: NGP
spase://SMWG/Observatory/Ground/Nagycenk,Ground_Nagycenk,Nagycenk,Observatory Station Code: NCK
spase://SMWG/Observatory/Ground/Nain,Ground_Nain,Nain Geophysical Observatory,Observatory Station Code: NAIN
spase://SMWG/Observatory/Ground/Nairobi,Ground_Nairobi,Nairobi,Observatory Station Code: NAI
spase://SMWG/Observatory/Ground/Nampula,Ground_Nampula,Nampula,Observatory Station Code: NMP
spase://SMWG/Observatory/Ground/Narsarsuaq,Ground_Narsarsuaq,NRSQ,Observatory Station Code: NRSQ
spase://SMWG/Observatory/Ground/NASA.Stennis.Space.Center,Ground_NASA.Stennis.Space.Center,BSL,Observatory Station Code: BSL
spase://SMWG/Observatory/Ground/Neumayer.Station.III,Ground_Neumayer.Station.III,Neumayer Station III,Observatory Station Code: VNA
spase://SMWG/Observatory/Ground/Newport,Ground_Newport,Newport,Observatory Station Code: NEW
spase://SMWG/Observatory/Ground/Niemegk,Ground_Niemegk,Niemegk,Observatory Station Code: NGK
spase://SMWG/Observatory/Ground/Nord,Ground_Nord,Nord Geophysical Observatory,Observatory Station Code: NRD
spase://SMWG/Observatory/Ground/Nordkapp,Ground_Nordkapp,NOR,Observatory Station Code: NOR
spase://SMWG/Observatory/Ground/Norway.Station,Ground_Norway.Station,Norway Station,Observatory Station Code: NWS
spase://SMWG/Observatory/Ground/Novokazalinsk,Ground_Novokazalinsk,Novokazalinsk,Observatory Station Code: NKK
spase://SMWG/Observatory/Ground/Novolazarevskaya,Ground_Novolazarevskaya,Novolazarevskaya,Observatory Station Code: NVL
spase://SMWG/Observatory/Ground/Novosibirsk,Ground_Novosibirsk,Novosibirsk,Observatory Station Code: NVS
spase://SMWG/Observatory/Ground/Nurmijarvi,Ground_Nurmijarvi,Nurmijarvi Geophysical Observatory,Observatory Station Code: NUR
spase://SMWG/Observatory/Ground/Nuuk,Ground_Nuuk,GHB,Godthap Vector Magnetic Field 1.0 min Data Geophysical Observatory
spase://SMWG/Observatory/Ground/Ny.Alesund,Ground_Ny.Alesund,Ny Alesund Geophysical Observatory,Observatory Station Code: NAL
spase://SMWG/Observatory/Ground/Nyalesund,Ground_Nyalesund,NAL,Observatory Station Code: NAL
spase://SMWG/Observatory/Ground/Oasis,Ground_Oasis,Oasis,Observatory Station Code: OAS
spase://SMWG/Observatory/Ground/Ottawa,Ground_Ottawa,Ottawa Geophysical Observatory,Observatory Station Code: OTT
spase://SMWG/Observatory/Ground/Oulujarvi,Ground_Oulujarvi,Oulujarvi Geophysical Observatory,Observatory Station Code: OUJ
spase://SMWG/Observatory/Ground/Paamiut,Ground_Paamiut,FHB,Frederikshap Vector Magnetic Field 1.0 min Data Geophysical Observatory
spase://SMWG/Observatory/Ground/Pamatai,Ground_Pamatai,Pamatai,Observatory Station Code: PPT
spase://SMWG/Observatory/Ground/Panagjurishte,Ground_Panagjurishte,Panagjurishte,Observatory Station Code: PAG
spase://SMWG/Observatory/Ground/Pangnirtung,Ground_Pangnirtung,PANG,Observatory Station Code: PANG
spase://SMWG/Observatory/Ground/Paramaribo,Ground_Paramaribo,Paramaribo,Observatory Station Code: PAB
spase://SMWG/Observatory/Ground/Paratunka,Ground_Paratunka,Paratunka,Observatory Station Code: PET
spase://SMWG/Observatory/Ground/Parc.St.Maur,Ground_Parc.St.Maur,Parc St Maur,Observatory Station Code: PSM
spase://SMWG/Observatory/Ground/Park.Site,Ground_Park.Site,PKS,Observatory Station Code: PKS
spase://SMWG/Observatory/Ground/Patrony,Ground_Patrony,Patrony,Observatory Station Code: IRT
spase://SMWG/Observatory/Ground/Pedeli,Ground_Pedeli,Pedeli,Observatory Station Code: PEG
spase://SMWG/Observatory/Ground/Pello,Ground_Pello,PEL,Observatory Station Code: PEL
spase://SMWG/Observatory/Ground/Pelly.Bay,Ground_Pelly.Bay,Pelly Bay Geophysical Observatory,Observatory Station Code: PEB
spase://SMWG/Observatory/Ground/PENGUIn,Ground_PENGUIn,PENGUIn,Polar Experimental Network for Geospace Upper atmosphere Investigations
spase://SMWG/Observatory/Ground/PENGUIn.0,Ground_PENGUIn.0,PG0,Observatory Station Code: PG0
spase://SMWG/Observatory/Ground/PENGUIn.1,Ground_PENGUIn.1,PG1,Observatory Station Code: PG1
spase://SMWG/Observatory/Ground/PENGUIn.2,Ground_PENGUIn.2,PG2,Observatory Station Code: PG2
spase://SMWG/Observatory/Ground/PENGUIn.3,Ground_PENGUIn.3,PG3,Observatory Station Code: PG3
spase://SMWG/Observatory/Ground/PENGUIn.4,Ground_PENGUIn.4,PG4,Observatory Station Code: PG4
spase://SMWG/Observatory/Ground/PENGUIn.5,Ground_PENGUIn.5,PG5,Observatory Station Code: PG5
spase://SMWG/Observatory/Ground/Petersburg,Ground_Petersburg,PTRS,Observatory Station Code: PTRS
spase://SMWG/Observatory/Ground/Pevek,Ground_Pevek,PBK,Observatory Station Code: PBK
spase://SMWG/Observatory/Ground/Phuthuy,Ground_Phuthuy,Phuthuy,Observatory Station Code: PHU
